시도명,선거구명,법정읍면동명,투표구명,후보자,득표수
강원도,춘천시,신북읍,신북읍제1투,선거인수,1723
강원도,춘천시,신북읍,신북읍제1투,투표수,948
강원도,춘천시,신북읍,신북읍제1투,무효 투표수,12
강원도,춘천시,신북읍,신북읍제1투,기권자수,775
강원도,춘천시,신북읍,신북읍제1투,통합민주당 최윤,119
강원도,춘천시,신북읍,신북읍제1투,한나라당 허천,427
강원도,춘천시,신북읍,신북읍제1투,자유선진당 류종수,325
강원도,춘천시,신북읍,신북읍제1투,민주노동당 엄재철,29
강원도,춘천시,신북읍,신북읍제1투,평화통일가정당 전찬홍,17
강원도,춘천시,신북읍,신북읍제1투,무소속 유현규,19
강원도,춘천시,신북읍,신북읍제2투,선거인수,2168
강원도,춘천시,신북읍,신북읍제2투,투표수,1033
강원도,춘천시,신북읍,신북읍제2투,무효 투표수,9
강원도,춘천시,신북읍,신북읍제2투,기권자수,1135
강원도,춘천시,신북읍,신북읍제2투,통합민주당 최윤,125
강원도,춘천시,신북읍,신북읍제2투,한나라당 허천,454
강원도,춘천시,신북읍,신북읍제2투,자유선진당 류종수,365
강원도,춘천시,신북읍,신북읍제2투,민주노동당 엄재철,30
강원도,춘천시,신북읍,신북읍제2투,평화통일가정당 전찬홍,30
강원도,춘천시,신북읍,신북읍제2투,무소속 유현규,20
강원도,춘천시,신북읍,신북읍제3투,선거인수,1402
강원도,춘천시,신북읍,신북읍제3투,투표수,757
강원도,춘천시,신북읍,신북읍제3투,무효 투표수,19
강원도,춘천시,신북읍,신북읍제3투,기권자수,645
강원도,춘천시,신북읍,신북읍제3투,통합민주당 최윤,72
강원도,춘천시,신북읍,신북읍제3투,한나라당 허천,348
강원도,춘천시,신북읍,신북읍제3투,자유선진당 류종수,263
강원도,춘천시,신북읍,신북읍제3투,민주노동당 엄재철,40
강원도,춘천시,신북읍,신북읍제3투,평화통일가정당 전찬홍,10
강원도,춘천시,신북읍,신북읍제3투,무소속 유현규,5
강원도,춘천시,신북읍,신북읍제4투,선거인수,850
강원도,춘천시,신북읍,신북읍제4투,투표수,501
