시도명,구시군명,읍면동명,투표구명,후보자,득표수
서울특별시,종로구,부재자투표,,선거인수,2144
서울특별시,종로구,부재자투표,,투표수,2029
서울특별시,종로구,부재자투표,,대통합민주신당 정동영,350
서울특별시,종로구,부재자투표,,한나라당 이명박,1140
서울특별시,종로구,부재자투표,,민주노동당 권영길,68
서울특별시,종로구,부재자투표,,민주당 이인제,15
서울특별시,종로구,부재자투표,,창조한국당 문국현,120
서울특별시,종로구,부재자투표,,참주인연합 정근모,5
서울특별시,종로구,부재자투표,,경제공화당 허경영,15
서울특별시,종로구,부재자투표,,새시대참사람연합 전관,2
서울특별시,종로구,부재자투표,,한국사회당 금민,6
서울특별시,종로구,부재자투표,,무소속 이회창,274
서울특별시,종로구,부재자투표,,무효 투표수,34
서울특별시,종로구,부재자투표,,기권자수,115
서울특별시,종로구,청운동,청운동제1투,선거인수,1960
서울특별시,종로구,청운동,청운동제1투,투표수,1341
서울특별시,종로구,청운동,청운동제1투,대통합민주신당 정동영,360
서울특별시,종로구,청운동,청운동제1투,한나라당 이명박,672
서울특별시,종로구,청운동,청운동제1투,민주노동당 권영길,33
서울특별시,종로구,청운동,청운동제1투,민주당 이인제,3
서울특별시,종로구,청운동,청운동제1투,창조한국당 문국현,88
서울특별시,종로구,청운동,청운동제1투,참주인연합 정근모,3
서울특별시,종로구,청운동,청운동제1투,경제공화당 허경영,3
서울특별시,종로구,청운동,청운동제1투,새시대참사람연합 전관,0
서울특별시,종로구,청운동,청운동제1투,한국사회당 금민,0
서울특별시,종로구,청운동,청운동제1투,무소속 이회창,178
서울특별시,종로구,청운동,청운동제1투,무효 투표수,1
서울특별시,종로구,청운동,청운동제1투,기권자수,619
서울특별시,종로구,청운동,청운동제2투,선거인수,1400
서울특별시,종로구,청운동,청운동제2투,투표수,979
서울특별시,종로구,청운동,청운동제2투,대통합민주신당 정동영,181
서울특별시,종로구,청운동,청운동제2투,한나라당 이명박,580
서울특별시,종로구,청운동,청운동제2투,민주노동당 권영길,14
서울특별시,종로구,청운동,청운동제2투,민주당 이인제,1
서울특별시,종로구,청운동,청운동제2투,창조한국당 문국현,65
서울특별시,종로구,청운동,청운동제2투,참주인연합 정근모,0
서울특별시,종로구,청운동,청운동제2투,경제공화당 허경영,4
서울특별시,종로구,청운동,청운동제2투,새시대참사람연합 전관,0
서울특별시,종로구,청운동,청운동제2투,한국사회당 금민,1
서울특별시,종로구,청운동,청운동제2투,무소속 이회창,129
서울특별시,종로구,청운동,청운동제2투,무효 투표수,4
서울특별시,종로구,청운동,청운동제2투,기권자수,421
서울특별시,종로구,효자동,효자동제1투,선거인수,2984
서울특별시,종로구,효자동,효자동제1투,투표수,2024
서울특별시,종로구,효자동,효자동제1투,대통합민주신당 정동영,481
서울특별시,종로구,효자동,효자동제1투,한나라당 이명박,1084
서울특별시,종로구,효자동,효자동제1투,민주노동당 권영길,45
서울특별시,종로구,효자동,효자동제1투,민주당 이인제,10
서울특별시,종로구,효자동,효자동제1투,창조한국당 문국현,120
서울특별시,종로구,효자동,효자동제1투,참주인연합 정근모,0
서울특별시,종로구,효자동,효자동제1투,경제공화당 허경영,7
서울특별시,종로구,효자동,효자동제1투,새시대참사람연합 전관,0
서울특별시,종로구,효자동,효자동제1투,한국사회당 금민,1
서울특별시,종로구,효자동,효자동제1투,무소속 이회창,269
서울특별시,종로구,효자동,효자동제1투,무효 투표수,7
서울특별시,종로구,효자동,효자동제1투,기권자수,960
서울특별시,종로구,효자동,효자동제2투,선거인수,3464
서울특별시,종로구,효자동,효자동제2투,투표수,2327
서울특별시,종로구,효자동,효자동제2투,대통합민주신당 정동영,593
서울특별시,종로구,효자동,효자동제2투,한나라당 이명박,1193
서울특별시,종로구,효자동,효자동제2투,민주노동당 권영길,61
서울특별시,종로구,효자동,효자동제2투,민주당 이인제,3
서울특별시,종로구,효자동,효자동제2투,창조한국당 문국현,175
서울특별시,종로구,효자동,효자동제2투,참주인연합 정근모,2
서울특별시,종로구,효자동,효자동제2투,경제공화당 허경영,10
서울특별시,종로구,효자동,효자동제2투,새시대참사람연합 전관,1
서울특별시,종로구,효자동,효자동제2투,한국사회당 금민,0
서울특별시,종로구,효자동,효자동제2투,무소속 이회창,280
서울특별시,종로구,효자동,효자동제2투,무효 투표수,9
서울특별시,종로구,효자동,효자동제2투,기권자수,1137
서울특별시,종로구,효자동,효자동제3투,선거인수,2824
서울특별시,종로구,효자동,효자동제3투,투표수,1844
