"행정구역별","연령별","항목","단위","2019.1/2","2019.2/2","2020.1/2","2020.2/2","2021.1/2","2021.2/2","2022.1/2","2022.2/2","2023.1/2","2023.2/2","2024.1/2","2024.2/2","2025.1/2","2025.2/2",
"서울 종로구","계","취업자 (천명)","","","","","","34.9","36.4","38.7","31.9","34.4","33.6","34","33.9","33","34.4",
"서울 종로구","계","고용률 (%)","","","","","","48.2","49.9","53.4","44.5","47.8","46.9","47.5","47.3","46.3","48.2",
"서울 종로구","15 - 64세","취업자 (천명)","","","","","","32.5","33.8","35.8","29.5","30.7","29.9","30.8","30.8","29.1","30.6",
"서울 종로구","15 - 64세","고용률 (%)","","","","","","56.2","58.5","62.5","52.1","54","53.2","55.1","55.3","52.9","55.8",
"서울 종로구","15 - 29세","취업자 (천명)","","","","","","7.6","8.2","9.2","7.2","8.1","7.2","6.5","7.1","5.4","6.8",
"서울 종로구","15 - 29세","고용률 (%)","","","","","","40.4","44.6","50.1","38.8","42.8","38.8","35.1","38.5","30.1","37.7",
"서울 종로구","30 - 49세","취업자 (천명)","","","","","","14.9","14.7","15.5","13.4","13.3","13.5","14.9","14.5","14.5","14.3",
"서울 종로구","30 - 49세","고용률 (%)","","","","","","70.9","70.4","75","65.8","65.8","67.9","75.4","73.2","73.5","72.1",
"서울 종로구","50 - 64세","취업자 (천명)","","","","","","10.1","10.8","11.1","9","9.4","9.2","9.4","9.2","9.2","9.5",
"서울 종로구","50 - 64세","고용률 (%)","","","","","","55.5","58.9","60.9","50.4","52.5","51.9","53.4","52.7","53.1","56",
"서울 종로구","65세이상","취업자 (천명)","","","","","","2.4","2.6","2.9","2.3","3.7","3.7","3.2","3.1","3.9","3.7",
"서울 종로구","65세이상","고용률 (%)","","","","","","16.4","17.3","19.2","15.7","24.6","23.8","20.3","19.4","23.9","22.7",
"서울 종로구","55세이상","취업자 (천명)","","","","","","8.9","9.7","9.8","7.8","9.2","9.3","9.5","9.4","9.9","10.1",
"서울 종로구","55세이상","고용률 (%)","","","","","","33.7","36","36.1","29.4","34.5","34.5","34.9","34.4","35.6","36.1",
"서울 중구","계","취업자 (천명)","","","","","","30.7","31.7","33.1","31.7","33.9","32","35.1","35.8","35.1","34",
"서울 중구","계","고용률 (%)","","","","","","49.1","50","52.6","50.8","53.7","50.4","55","56","55.3","54.2",
"서울 중구","15 - 64세","취업자 (천명)","","","","","","28.4","28.9","30.3","28.4","30.6","29","31.4","31.3","30.8","30.3",
"서울 중구","15 - 64세","고용률 (%)","","","","","","57","57.6","61.1","58","62","58.7","63.3","63.4","63.1","63.2",
"서울 중구","15 - 29세","취업자 (천명)","","","","","","6.4","6.7","6.4","6.8","7.8","6.5","6.9","7","7.5","7.3",
"서울 중구","15 - 29세","고용률 (%)","","","","","","43.4","45.2","43.8","46.3","52.8","44.7","47","48.1","52.9","52.2",
"서울 중구","30 - 49세","취업자 (천명)","","","","","","13.1","13.6","14.7","13.4","14.5","14.1","15.2","15.3","14.7","14.7",
"서울 중구","30 - 49세","고용률 (%)","","","","","","67.2","69","75.2","69.2","74.2","71.2","76","75.1","73","73.3",
"서울 중구","50 - 64세","취업자 (천명)","","","","","","8.9","8.6","9.2","8.3","8.3","8.4","9.3","9.1","8.6","8.4",
"서울 중구","50 - 64세","고용률 (%)","","","","","","57.2","54.9","59.5","54.9","55.2","55.8","62.4","62.3","59.5","59.6",
"서울 중구","65세이상","취업자 (천명)","","","","","","2.3","2.8","2.9","3.3","3.3","2.9","3.7","4.5","4.3","3.7",
"서울 중구","65세이상","고용률 (%)","","","","","","18.1","21.2","21.4","24.6","23.9","21.1","26.1","30.6","29.4","25.2",
"서울 중구","55세이상","취업자 (천명)","","","","","","7.4","7.8","8.7","8.7","8.4","8.1","9.5","10.2","10.1","9.5",
"서울 중구","55세이상","고용률 (%)","","","","","","32.3","33.2","36.9","37.4","35.4","33.9","39.6","42.1","41.3","39",
"서울 용산구","계","취업자 (천명)","","","","","","55.6","57.5","57.3","52.8","58.2","54.5","53.8","53.5","51.8","52",
"서울 용산구","계","고용률 (%)","","","","","","51.2","52.4","52.7","49.7","54.9","51.8","52.6","53.4","52.1","52.3",
