prov,sgg,dong_norm,median_apt_price_sqm
Busan,강서,녹산동,310.61241236914856
Busan,강서,대저동,391.04984663513824
Busan,강서,명지동,414.97437030067357
Busan,강서,신호동,212.94618696910516
Busan,강서,지사동,225.0183767508088
Busan,금정,구서동,433.0404176613264
Busan,금정,금사동,315.35757733555397
Busan,금정,남산동,276.7602767602768
Busan,금정,부곡동,387.1867120283471
Busan,금정,서동,247.2893285143618
Busan,금정,장전동,541.4057718563156
Busan,금정,청룡동,314.74825688014846
Busan,금정,회동동,243.58196639254993
Busan,기장,고촌리,340.7084853477698
Busan,기장,교리,326.2150987937792
Busan,기장,내리,469.47417715531594
Busan,기장,달산리,300.7665605709944
Busan,기장,대라리,265.99127148878557
Busan,기장,대변리,313.4716919599431
Busan,기장,동부리,226.86025408348456
Busan,기장,매학리,335.29806233014506
Busan,기장,명례리,168.67671691792296
Busan,기장,모전리,278.74255025308486
Busan,기장,방곡리,298.1845821030783
Busan,기장,삼성리,232.70440251572327
Busan,기장,서부리,274.2954670134303
Busan,기장,용수리,291.9995336725815
Busan,기장,월내리,424.0482472672446
Busan,기장,이천리,323.1578951681565
Busan,기장,청강리,271.72010495397427
Busan,남,감만동,265.26526526526527
Busan,남,대연동,500.1123781932175
Busan,남,문현동,361.95286195286195
Busan,남,용당동,304.49247361343305
Busan,남,용호동,403.38711828243765
Busan,남,우암동,261.94688242557527
Busan,동,범일동,391.9442490822796
Busan,동,수정동,276.7962308598351
Busan,동,좌천동,408.1158066019856
Busan,동,초량동,370.7496204230077
Busan,동래,낙민동,358.07161432286455
Busan,동래,명륜동,600.609088275404
Busan,동래,명장동,357.9496663791217
Busan,동래,복천동,374.5583038869258
Busan,동래,사직동,453.83411580594674
Busan,동래,수안동,388.18513844034464
Busan,동래,안락동,403.8966869755469
Busan,동래,온천동,386.8226577363772
Busan,동래,칠산동,502.5718910683679
Busan,부산진,가야동,331.98614318706694
Busan,부산진,개금동,312.01516979831064
Busan,부산진,당감동,312.3486682808717
Busan,부산진,범전동,641.399828646211
Busan,부산진,범천동,354.85172764086224
Busan,부산진,부암동,351.1705685618729
Busan,부산진,부전동,482.36995629526007
Busan,부산진,양정동,375.31276063386156
Busan,부산진,연지동,355.0985043250998
Busan,부산진,전포동,367.6470588235294
Busan,부산진,초읍동,290.26438145971133
Busan,북,구포동,258.3951283125922
Busan,북,금곡동,331.5986929686555
Busan,북,덕천동,323.4409963158013
Busan,북,만덕동,296.5096577431379
Busan,북,화명동,415.442634717182
Busan,사상,괘법동,371.01996762007553
Busan,사상,덕포동,223.7399307802482
Busan,사상,모라동,222.01919072399906
Busan,사상,삼락동,291.71528588098016
Busan,사상,엄궁동,268.12021213906894
Busan,사상,주례동,267.65739852988173
Busan,사상,학장동,227.9850121636107
Busan,사하,감천동,225.51705341177893
Busan,사하,괴정동,320.50735749327197
Busan,사하,구평동,306.0331918251701
Busan,사하,다대동,235.32124880280315
Busan,사하,당리동,266.8428005284016
Busan,사하,신평동,248.45756211439053
Busan,사하,장림동,220.31360461185858
Busan,사하,하단동,261.1818478615736
Busan,서,남부민동,318.53167554766134
Busan,서,동대신동1가,558.1947743467933
Busan,서,동대신동2가,434.4193817878028
Busan,서,동대신동3가,266.2721893491124
Busan,서,부민동1가,416.33306645316253
Busan,서,부민동3가,296.47058823529414
Busan,서,부용동1가,389.3575600259572
Busan,서,서대신동1가,457.80274929927174
Busan,서,서대신동2가,315.89479702687254
Busan,서,서대신동3가,430.83304983890844
Busan,서,아미동1가,477.8109877597495
Busan,서,아미동2가,184.76128188358405
Busan,서,암남동,295.08886678674287
Busan,서,충무동1가,469.7986577181208
Busan,서,충무동2가,379.7014068331898
Busan,서,충무동3가,393.14037440092613
Busan,서,토성동1가,445.28212981505476
Busan,서,토성동2가,334.52660165411675
Busan,서,토성동3가,343.86485144736537
Busan,서,토성동5가,327.62610364263134
Busan,수영,광안동,408.67513131693556
Busan,수영,남천동,699.1275642537138
Busan,수영,망미동,362.9227726262907
Busan,수영,민락동,596.1523547796514
Busan,수영,수영동,552.4189194594334
Busan,연제,거제동,448.22008920241547
Busan,연제,연산동,449.1019180060544
Busan,영도,남항동1가,440.3025391680173
Busan,영도,남항동2가,316.6924807535339
Busan,영도,남항동3가,182.12267113250994
Busan,영도,대교동1가,410.1116825463465
Busan,영도,대교동2가,315.5224744349839
Busan,영도,대평동1가,247.55393139219615
Busan,영도,동삼동,213.47754927773428
Busan,영도,봉래동1가,443.499418579235
Busan,영도,봉래동2가,294.3947244465379
Busan,영도,봉래동3가,283.0974478061798
Busan,영도,봉래동4가,175.02917152858808
Busan,영도,봉래동5가,116.33317822242904
Busan,영도,신선동2가,55.005500550055004
Busan,영도,신선동3가,235.7617842120982
Busan,영도,영선동1가,392.84122562674094
Busan,영도,영선동2가,396.70861340333613
Busan,영도,영선동3가,274.2789876397881
Busan,영도,영선동4가,255.08475829397133
Busan,영도,청학동,230.56810078440694
Busan,중,대창동1가,157.2897761645493
Busan,중,대청동1가,394.3217665615142
Busan,중,대청동2가,270.71563088512244
Busan,중,대청동4가,202.06822774277904
Busan,중,동광동5가,207.65027322404373
Busan,중,보수동1가,48.12981298129813
Busan,중,보수동2가,316.7166416791604
Busan,중,보수동3가,442.1014376040208
Busan,중,부평동2가,236.51877265358178
Busan,중,부평동4가,328.86326642097936
Busan,중,신창동1가,265.7182568882348
Busan,중,신창동2가,265.73426573426576
Busan,중,영주동,230.4426925409339
Busan,중,중앙동4가,152.37116932032188
Busan,해운대,반송동,214.4456227170967
Busan,해운대,반여동,333.89565818583856
Busan,해운대,송정동,403.0001657550141
Busan,해운대,우동,668.1649760068032
Busan,해운대,재송동,421.2912403887996
Busan,해운대,좌동,422.08875542208875
Busan,해운대,중동,565.0808722564252
Chungbuk,괴산,대사리,106.78391959798995
Chungbuk,괴산,동부리,241.51404120071433
Chungbuk,괴산,서부리,134.2058516196447
Chungbuk,단양,도전리,120.55837563451777
Chungbuk,단양,별곡리,197.00396371975006
Chungbuk,단양,상진리,126.36935622957276
Chungbuk,단양,평동리,92.04688127479753
Chungbuk,보은,관기리,29.889409186011754
Chungbuk,보은,교사리,95.75569358178053
Chungbuk,보은,삼산리,88.99964400142399
Chungbuk,보은,이평리,200.2964387293194
Chungbuk,보은,장신리,265.576438261148
Chungbuk,보은,죽전리,71.73840507173841
Chungbuk,영동,계산리,122.52868178370356
Chungbuk,영동,남성리,68.85327991987982
Chungbuk,영동,동정리,231.09544832577808
Chungbuk,영동,매천리,174.35704783109193
Chungbuk,영동,부용리,169.08787806620623
Chungbuk,영동,설계리,121.47716229348883
Chungbuk,영동,초강리,65.0216738912971
Chungbuk,옥천,강청리,157.51050070004666
Chungbuk,옥천,건진리,66.86726847208291
Chungbuk,옥천,금구리,131.96359301727932
Chungbuk,옥천,대천리,63.204005006257816
Chungbuk,옥천,마암리,254.70526978449013
Chungbuk,옥천,문정리,164.24828698105603
Chungbuk,옥천,삼양리,171.5647119923067
Chungbuk,옥천,양수리,281.6120793606807
Chungbuk,옥천,장야리,191.14688128772636
Chungbuk,옥천,죽향리,137.21552878179384
Chungbuk,음성,금석리,240.76410603373137
Chungbuk,음성,내송리,90.37037037037037
Chungbuk,음성,대풍리,141.50459477211277
Chungbuk,음성,덕정리,106.7378252168112
Chungbuk,음성,동성리,266.1438344735525
Chungbuk,음성,무극리,137.20205766673993
Chungbuk,음성,본대리,50.377833753148614
Chungbuk,음성,부윤리,72.38508867173363
Chungbuk,음성,삼정리,139.24882347251545
Chungbuk,음성,소석리,274.27398063948374
Chungbuk,음성,신양리,186.40037167607886
Chungbuk,음성,신천리,165.06877865777406
Chungbuk,음성,오류리,102.78041825095058
Chungbuk,음성,오산리,92.92446568432231
Chungbuk,음성,오선리,92.35936188077247
Chungbuk,음성,오향리,162.99654576856648
Chungbuk,음성,용촌리,94.76174146741587
Chungbuk,음성,읍내리,115.0
Chungbuk,음성,태생리,270.58865106197504
Chungbuk,음성,평곡리,72.97551789077214
Chungbuk,제천,강제동,280.9757030744421
Chungbuk,제천,고암동,131.91990577149588
Chungbuk,제천,교동,101.18445330635082
Chungbuk,제천,동현동,66.08339538346985
Chungbuk,제천,명동,287.69179452968643
Chungbuk,제천,모산동,171.2953645549015
Chungbuk,제천,미당리,79.77160130993366
Chungbuk,제천,신백동,106.24169986719788
Chungbuk,제천,신월동,163.74092651448578
Chungbuk,제천,왕암동,250.9043841890412
Chungbuk,제천,의림동,136.42934586194434
Chungbuk,제천,장락동,177.8125534179533
Chungbuk,제천,주포리,72.70083605961469
Chungbuk,제천,천남동,271.84988908221254
Chungbuk,제천,청전동,82.47821950958784
Chungbuk,제천,하소동,151.97645550102658
Chungbuk,제천,화산동,210.41873543759357
Chungbuk,증평,송산리,266.776934466246
Chungbuk,증평,신동리,110.07911936704507
Chungbuk,증평,용강리,76.74341007674342
Chungbuk,증평,장동리,128.8993525603296
Chungbuk,증평,증천리,70.42811839323467
Chungbuk,증평,증평리,78.34639106517753
Chungbuk,증평,창동리,161.98016198016197
Chungbuk,증평,초중리,172.28067655191418
Chungbuk,증평,화성리,10.005002501250626
Chungbuk,진천,광혜원리,133.62349329794773
Chungbuk,진천,교성리,184.55366098294886
Chungbuk,진천,두촌리,278.94265433355656
Chungbuk,진천,벽암리,88.4529032815173
Chungbuk,진천,봉죽리,79.36507936507937
Chungbuk,진천,석현리,70.54224035356111
Chungbuk,진천,성석리,131.45639454980954
Chungbuk,진천,송림리,87.04548568297027
Chungbuk,진천,신정리,221.19341563786008
Chungbuk,진천,용몽리,72.20822837951302
Chungbuk,진천,읍내리,95.93092973059397
Chungbuk,진천,장관리,130.8803505224132
Chungbuk,진천,죽현리,115.2073732718894
Chungbuk,진천,합목리,90.41591320072332
Chungbuk,청주,가경동,234.27041499330656
Chungbuk,청주,가락리,243.61023696935516
Chungbuk,청주,가마리,306.0710367332332
Chungbuk,청주,각리,229.46683674670155
Chungbuk,청주,강서동,281.4494647434287
Chungbuk,청주,개신동,217.01026776670292
Chungbuk,청주,괴정리,113.3427785648804
Chungbuk,청주,궁평리,184.1620626151013
Chungbuk,청주,금천동,181.85763440415792
Chungbuk,청주,남문로1가,235.70081709616593
Chungbuk,청주,남주동,91.37426900584795
Chungbuk,청주,내덕동,146.3978082924574
Chungbuk,청주,내수리,107.65029153541988
Chungbuk,청주,대성동,123.60211889346674
Chungbuk,청주,도원리,97.10363301523523
Chungbuk,청주,마산리,98.57978279030911
Chungbuk,청주,만수리,241.3894688199755
Chungbuk,청주,모충동,143.64376346660282
Chungbuk,청주,문화동,362.6832530375301
Chungbuk,청주,미원리,97.24540901502505
Chungbuk,청주,방서동,369.4248032283492
Chungbuk,청주,복대동,372.0881482063779
Chungbuk,청주,복현리,108.6048454469507
Chungbuk,청주,봉명동,216.79787651192953
Chungbuk,청주,봉산리,123.90924956369983
Chungbuk,청주,북문로2가,345.4593708870311
Chungbuk,청주,북문로3가,270.65048861601343
Chungbuk,청주,분평동,180.83182640144665
Chungbuk,청주,비하동,211.8688955274476
Chungbuk,청주,사직동,275.43745949449124
Chungbuk,청주,사창동,259.33246421912895
Chungbuk,청주,사천동,167.11229946524062
Chungbuk,청주,산남동,288.28956038783775
Chungbuk,청주,서운동,96.4677945978035
Chungbuk,청주,서평리,150.15015015015015
Chungbuk,청주,석교동,122.10012210012209
Chungbuk,청주,성화동,318.1816039181118
Chungbuk,청주,송절동,376.5924269616641
Chungbuk,청주,수곡동,146.77728142948308
Chungbuk,청주,수동,90.63008893899536
Chungbuk,청주,신봉동,152.959171667255
Chungbuk,청주,양청리,334.0615452170906
Chungbuk,청주,연제리,282.10985302898337
Chungbuk,청주,영동,144.04976661190082
Chungbuk,청주,영운동,117.95234725171031
Chungbuk,청주,오산리,99.8389694041868
Chungbuk,청주,오송리,158.5038577658504
Chungbuk,청주,용담동,225.04876056478903
Chungbuk,청주,용암동,167.0668267306923
Chungbuk,청주,용정동,315.4425612052731
