"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2021-04-01 ~ 2021-04-30"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","부산광역시 해운대구 반여동","1662","1662","0000","메가센텀한화꿈에그린","100.9973","202104","30","71,000","-","15","-","-","2008","반여로 67","-","-","-","-"
"2","인천광역시 서구 가좌동","329-5","0329","0005","라일실크빌","84.2300","202104","30","28,000","-","7","-","-","2008","열우물로282번길 16-6","-","-","-","-"
"3","광주광역시 북구 동림동","26-1","0026","0001","우미2","59.7900","202104","30","9,200","-","17","-","-","1991","북문대로201번길 30","20210607","-","-","-"
"4","인천광역시 남동구 만수동","5-318","0005","0318","아주(5-318)","43.8300","202104","30","9,200","-","6","-","-","1988","만수로 97","-","-","-","-"
"5","대전광역시 동구 판암동","202","0202","0000","주공2","59.3900","202104","30","15,300","-","5","-","-","1990","옥천로180번길 23","-","-","-","-"
"6","서울특별시 용산구 이촌동","430","0430","0000","LG한강자이","66.3900","202104","30","183,000","-","9","-","-","2003","이촌로64길 15","-","-","-","-"
"7","부산광역시 해운대구 좌동","1333","1333","0000","대우","59.9460","202104","30","42,000","-","14","-","-","1996","세실로 19","-","-","-","-"
"8","대전광역시 서구 둔산동","1388","1388","0000","한마루아파트","101.9400","202104","30","74,000","-","3","-","-","1992","둔산북로 160","-","-","-","-"
"9","인천광역시 남동구 만수동","876-1","0876","0001","영종","47.6400","202104","30","12,000","-","1","-","-","1989","만경로28번길 11","-","-","-","-"
"10","부산광역시 중구 보수동2가","89-5","0089","0005","보수동한웅베어스","84.9300","202104","30","32,000","-","6","-","-","2012","흑교로 55","-","-","-","-"
"11","부산광역시 중구 보수동2가","81-2","0081","0002","보수동봄여름가을겨울","76.9000","202104","30","28,500","-","9","-","-","2013","보수대로124번길 59","-","-","-","-"
"12","서울특별시 마포구 공덕동","457","0457","0000","공덕3삼성래미안","84.9800","202104","30","157,000","-","18","-","-","2004","마포대로7길 22","-","-","-","-"
"13","광주광역시 북구 용봉동","1035","1035","0000","중흥","84.9900","202104","30","18,500","-","8","-","-","1995","비엔날레로 107","-","-","-","-"
"14","광주광역시 북구 용봉동","17-2","0017","0002","성산","79.9200","202104","30","24,000","-","4","-","-","1985","효산로 11","-","-","-","-"
"15","광주광역시 북구 용봉동","842-1","0842","0001","금호","84.9300","202104","30","16,400","-","16","-","-","1994","저불로69번길 40","-","-","-","-"
"16","대전광역시 서구 둔산동","1203","1203","0000","은하수","59.7400","202104","30","34,950","-","8","-","-","1994","둔산남로 15","-","-","-","-"
"17","대구광역시 동구 방촌동","1050-71","1050","0071","영남네오빌","84.9913","202104","30","33,000","-","9","-","-","2000","동촌로 190","-","-","-","-"
"18","인천광역시 부평구 십정동","187-22","0187","0022","동보","84.5220","202104","30","27,000","-","6","-","-","1998","상정로 11","-","-","-","-"
"19","대구광역시 남구 대명동","1633","1633","0000","파크맨션","52.2400","202104","30","23,500","-","9","-","-","1981","대명복개로 230","-","-","-","-"
"20","서울특별시 강남구 청담동","134-38","0134","0038","청담자이","49.5930","202104","30","182,000","-","9","-","-","2011","영동대로138길 12","-","-","-","-"
"21","대전광역시 서구 둔산동","1383","1383","0000","영진햇님","93.1050","202104","30","81,000","-","7","-","-","1993","둔산북로 175","-","-","-","-"
"22","서울특별시 성동구 금호동2가","1217","1217","0000","래미안하이리버","84.9800","202104","30","147,000","-","13","-","-","2012","금호로 107","-","-","-","-"
"23","대전광역시 서구 둔산동","1383","1383","0000","영진햇님","93.1050","202104","30","84,000","-","13","-","-","1993","둔산북로 175","-","-","-","-"
"24","대전광역시 서구 둔산동","909","0909","0000","수정타운","71.7000","202104","30","33,600","-","5","-","-","1993","청사로 282","-","-","-","-"
"25","대전광역시 서구 둔산동","1510","1510","0000","목련","134.8800","202104","30","129,000","-","2","-","-","1993","둔산남로 127","-","-","-","-"
"26","부산광역시 중구 보수동3가","27-6","0027","0006","보수에코팰리스","72.8022","202104","30","39,000","-","5","-","-","2020","흑교로71번길 24","-","-","-","-"
"27","서울특별시 강남구 청담동","28-13","0028","0013","골든아트빌","153.3300","202104","30","167,000","-","4","-","-","2000","삼성로135길 28","-","-","-","-"
"28","부산광역시 연제구 연산동","2367","2367","0000","연산롯데캐슬골드포레","84.9813","202104","30","84,000","-","14","-","-","2020","황령산로 615","-","-","-","-"
"29","광주광역시 서구 금호동","739-1","0739","0001","라인","102.0000","202104","30","26,000","-","14","-","-","1993","금부로 100","-","-","-","-"
"30","대구광역시 남구 대명동","2680-17","2680","0017","보성청록타운","59.7900","202104","30","19,000","-","10","-","-","1998","큰골길 200","-","-","-","-"
"31","대전광역시 유성구 죽동","683","0683","0000","죽동대원칸타빌","74.8830","202104","30","67,000","-","3","-","-","2017","죽동로 39","-","-","-","-"
"32","서울특별시 노원구 중계동","445","0445","0000","염광","131.2500","202104","30","115,500","-","12","-","-","1996","덕릉로79길 23","-","-","-","-"
"33","서울특별시 노원구 중계동","363-1","0363","0001","주공7","44.1000","202104","30","46,500","-","15","-","-","1993","한글비석로8길 42","-","-","-","-"
"34","서울특별시 노원구 중계동","502-1","0502","0001","중계그린1단지","39.7800","202104","30","54,500","-","8","-","-","1990","동일로207길 18","-","-","-","-"
"35","인천광역시 서구 검암동","595-3","0595","0003","서해그랑블","69.6616","202104","30","48,300","-","13","-","-","2003","승학로495번길 7","-","-","-","-"
"36","광주광역시 서구 금호동","738-2","0738","0002","금호동우미호반아파트","84.8900","202104","30","23,000","-","13","-","-","1994","운천로 61","-","-","-","-"
"37","광주광역시 서구 금호동","809","0809","0000","호반리젠시빌5차","84.8910","202104","30","33,000","-","9","-","-","2002","화개1로78번길 8","-","-","-","-"
"38","광주광역시 서구 금호동","813","0813","0000","대주파크빌","59.9400","202104","30","17,500","-","2","-","-","2000","화개1로24번길 9","-","-","-","-"
"39","인천광역시 남동구 만수동","5-287","0005","0287","한국공영","45.2400","202104","30","7,700","-","3","-","-","1983","만수로75번길 35-12","-","-","-","-"
"40","부산광역시 해운대구 좌동","1396","1396","0000","대림","59.8160","202104","30","38,000","-","10","-","-","1996","대천로103번길 47","-","-","-","-"
"41","부산광역시 금정구 부곡동","958","0958","0000","부곡늘푸른아파트","45.7200","202104","30","9,200","-","1","-","-","1991","동현로 67","-","-","-","-"
"42","대전광역시 서구 둔산동","1809","1809","0000","국화우성","84.9600","202104","30","59,800","-","5","-","-","1992","둔산로 201","-","-","-","-"
"43","대전광역시 서구 둔산동","1809","1809","0000","국화동성","134.0600","202104","30","77,000","-","9","-","-","1991","둔산로 201","-","-","-","-"
"44","인천광역시 서구 검암동","535-1","0535","0001","신명스카이뷰2","84.9660","202104","30","35,000","-","11","-","-","2003","검암로10번길 54","-","-","-","-"
"45","서울특별시 구로구 신도림동","290","0290","0000","미성","66.0300","202104","30","83,000","-","1","-","-","1987","신도림로11가길 36","-","-","-","-"
"46","대전광역시 동구 용전동","1","0001","0000","신동아","67.6400","202104","30","18,850","-","8","-","-","1990","한밭대로1237번길 52","-","-","-","-"
