sdName,wiwName,emdName,pre_station_count
강원도,강릉시,강남동,1
강원도,강릉시,강동면,1
강원도,강릉시,경포동,1
강원도,강릉시,교1동,1
강원도,강릉시,교2동,1
강원도,강릉시,구정면,1
강원도,강릉시,내곡동,1
강원도,강릉시,사천면,1
강원도,강릉시,성덕동,1
강원도,강릉시,성산면,1
강원도,강릉시,송정동,1
강원도,강릉시,연곡면,1
강원도,강릉시,옥계면,1
강원도,강릉시,옥천동,1
강원도,강릉시,왕산면,1
강원도,강릉시,주문진읍,1
강원도,강릉시,중앙동,1
강원도,강릉시,초당동,1
강원도,강릉시,포남1동,1
강원도,강릉시,포남2동,1
강원도,강릉시,홍제동,1
강원도,고성군,간성읍,1
강원도,고성군,거진읍,1
강원도,고성군,죽왕면,1
강원도,고성군,토성면,1
강원도,고성군,현내면,1
강원도,동해시,동호동,1
강원도,동해시,망상동,1
강원도,동해시,묵호동,1
강원도,동해시,발한동,1
강원도,동해시,부곡동,1
강원도,동해시,북삼동,1
강원도,동해시,북평동,1
강원도,동해시,삼화동,1
강원도,동해시,송정동,1
강원도,동해시,천곡동,1
강원도,삼척시,가곡면,1
강원도,삼척시,교동,1
강원도,삼척시,근덕면,1
강원도,삼척시,남양동,1
강원도,삼척시,노곡면,1
강원도,삼척시,도계읍,1
강원도,삼척시,미로면,1
강원도,삼척시,성내동,1
강원도,삼척시,신기면,1
강원도,삼척시,원덕읍,1
강원도,삼척시,정라동,1
강원도,삼척시,하장면,1
강원도,속초시,교동,1
강원도,속초시,금호동,1
강원도,속초시,노학동,1
강원도,속초시,대포동,1
강원도,속초시,동명동,1
강원도,속초시,영랑동,1
강원도,속초시,조양동,1
강원도,속초시,청호동,1
강원도,양구군,국토정중앙면,1
강원도,양구군,동면,1
강원도,양구군,방산면,1
강원도,양구군,양구읍,2
강원도,양구군,해안면,1
강원도,양양군,강현면,1
강원도,양양군,서면,1
강원도,양양군,손양면,1
강원도,양양군,양양읍,1
강원도,양양군,현남면,1
강원도,양양군,현북면,1
강원도,영월군,김삿갓면,1
강원도,영월군,남면,1
강원도,영월군,무릉도원면,1
강원도,영월군,북면,1
강원도,영월군,산솔면,1
강원도,영월군,상동읍,1
강원도,영월군,영월읍,1
강원도,영월군,주천면,1
강원도,영월군,한반도면,1
강원도,원주시,개운동,1
강원도,원주시,귀래면,1
강원도,원주시,단계동,1
강원도,원주시,단구동,1
강원도,원주시,명륜1동,1
강원도,원주시,명륜2동,1
강원도,원주시,무실동,1
강원도,원주시,문막읍,1
강원도,원주시,반곡관설동,1
강원도,원주시,봉산동,1
강원도,원주시,부론면,1
강원도,원주시,소초면,1
강원도,원주시,신림면,1
강원도,원주시,우산동,1
강원도,원주시,원인동,1
강원도,원주시,일산동,1
강원도,원주시,중앙동,1
강원도,원주시,지정면,1
강원도,원주시,태장1동,1
강원도,원주시,태장2동,1
강원도,원주시,판부면,1
강원도,원주시,학성동,1
강원도,원주시,행구동,1
강원도,원주시,호저면,1
강원도,원주시,흥업면,1
강원도,인제군,기린면,1
강원도,인제군,남면,1
강원도,인제군,북면,2
강원도,인제군,상남면,1
강원도,인제군,서화면,2
강원도,인제군,인제읍,1
강원도,정선군,고한읍,1
강원도,정선군,남면,1
강원도,정선군,북평면,1
강원도,정선군,사북읍,1
강원도,정선군,신동읍,1
강원도,정선군,여량면,1
강원도,정선군,임계면,1
강원도,정선군,정선읍,1
강원도,정선군,화암면,1
강원도,철원군,갈말읍,2
강원도,철원군,근남면,1
강원도,철원군,근북면,1
강원도,철원군,김화읍,1
강원도,철원군,동송읍,1
강원도,철원군,서면,2
강원도,철원군,철원읍,1
강원도,춘천시,강남동,1
강원도,춘천시,교동,1
강원도,춘천시,근화동,1
강원도,춘천시,남면,1
강원도,춘천시,남산면,1
강원도,춘천시,동내면,1
강원도,춘천시,동면,1
강원도,춘천시,동산면,1
강원도,춘천시,북산면,1
강원도,춘천시,사북면,1
강원도,춘천시,서면,1
강원도,춘천시,석사동,1
강원도,춘천시,소양동,1
강원도,춘천시,신동면,1
강원도,춘천시,신북읍,1
강원도,춘천시,신사우동,1
강원도,춘천시,약사명동,1
강원도,춘천시,조운동,1
강원도,춘천시,퇴계동,1
강원도,춘천시,효자1동,1
강원도,춘천시,효자2동,1
강원도,춘천시,효자3동,1
강원도,춘천시,후평1동,1
강원도,춘천시,후평2동,1
강원도,춘천시,후평3동,1
강원도,태백시,구문소동,1
강원도,태백시,문곡소도동,1
강원도,태백시,삼수동,1
강원도,태백시,상장동,1
강원도,태백시,장성동,1
강원도,태백시,철암동,1
강원도,태백시,황연동,1
강원도,태백시,황지동,1
강원도,평창군,대관령면,1
강원도,평창군,대화면,1
강원도,평창군,미탄면,1
강원도,평창군,방림면,1
강원도,평창군,봉평면,1
강원도,평창군,용평면,1
강원도,평창군,진부면,1
강원도,평창군,평창읍,1
강원도,홍천군,남면,2
강원도,홍천군,내면,1
강원도,홍천군,내촌면,1
강원도,홍천군,두촌면,1
강원도,홍천군,북방면,1
강원도,홍천군,서면,1
강원도,홍천군,서석면,1
강원도,홍천군,영귀미면,1
강원도,홍천군,홍천읍,1
강원도,홍천군,화촌면,1
강원도,화천군,간동면,1
강원도,화천군,사내면,2
강원도,화천군,상서면,2
강원도,화천군,하남면,1
강원도,화천군,화천읍,1
강원도,횡성군,갑천면,1
강원도,횡성군,강림면,1
강원도,횡성군,공근면,1
강원도,횡성군,둔내면,1
강원도,횡성군,서원면,1
강원도,횡성군,안흥면,1
강원도,횡성군,우천면,1
강원도,횡성군,청일면,1
강원도,횡성군,횡성읍,1
경기도,가평군,가평읍,1
경기도,가평군,북면,1
경기도,가평군,상면,1
경기도,가평군,설악면,1
경기도,가평군,조종면,1
경기도,가평군,청평면,1
경기도,고양시덕양구,고양동,1
경기도,고양시덕양구,관산동,1
경기도,고양시덕양구,능곡동,1
경기도,고양시덕양구,대덕동,1
경기도,고양시덕양구,삼송1동,1
경기도,고양시덕양구,삼송2동,1
경기도,고양시덕양구,성사1동,1
경기도,고양시덕양구,성사2동,1
경기도,고양시덕양구,원신동,1
경기도,고양시덕양구,주교동,1
경기도,고양시덕양구,창릉동,1
경기도,고양시덕양구,행신1동,1
경기도,고양시덕양구,행신2동,1
경기도,고양시덕양구,행신3동,1
경기도,고양시덕양구,행신4동,1
경기도,고양시덕양구,행주동,1
경기도,고양시덕양구,화전동,1
경기도,고양시덕양구,화정1동,1
경기도,고양시덕양구,화정2동,1
경기도,고양시덕양구,효자동,1
경기도,고양시덕양구,흥도동,1
경기도,고양시일산동구,고봉동,1
경기도,고양시일산동구,마두1동,1
경기도,고양시일산동구,마두2동,1
경기도,고양시일산동구,백석1동,1
경기도,고양시일산동구,백석2동,1
경기도,고양시일산동구,식사동,1
경기도,고양시일산동구,장항1동,1
경기도,고양시일산동구,장항2동,1
경기도,고양시일산동구,정발산동,1
경기도,고양시일산동구,중산1동,1
경기도,고양시일산동구,중산2동,1
경기도,고양시일산동구,풍산동,1
경기도,고양시일산서구,가좌동,1
경기도,고양시일산서구,대화동,1
경기도,고양시일산서구,덕이동,1
경기도,고양시일산서구,송포동,1
경기도,고양시일산서구,일산1동,1
경기도,고양시일산서구,일산2동,1
경기도,고양시일산서구,일산3동,1
경기도,고양시일산서구,주엽1동,1
경기도,고양시일산서구,주엽2동,1
경기도,고양시일산서구,탄현1동,1
경기도,고양시일산서구,탄현2동,1
경기도,과천시,갈현동,1
경기도,과천시,과천동,1
경기도,과천시,문원동,1
경기도,과천시,별양동,1
경기도,과천시,부림동,1
경기도,과천시,중앙동,1
경기도,광명시,광명2동,1
경기도,광명시,광명3동,1
경기도,광명시,광명4동,1
경기도,광명시,광명5동,1
경기도,광명시,광명6동,1
경기도,광명시,광명7동,1
경기도,광명시,소하1동,1
경기도,광명시,소하2동,1
경기도,광명시,일직동,1
경기도,광명시,철산1동,1
경기도,광명시,철산2동,1
경기도,광명시,철산3동,1
경기도,광명시,철산4동,1
경기도,광명시,하안1동,1
경기도,광명시,하안2동,1
경기도,광명시,하안3동,1
경기도,광명시,하안4동,1
경기도,광명시,학온동,1
경기도,광주시,경안동,1
경기도,광주시,곤지암읍,1
경기도,광주시,광남1동,1
경기도,광주시,광남2동,1
경기도,광주시,남종면,1
경기도,광주시,남한산성면,1
경기도,광주시,도척면,1
경기도,광주시,송정동,1
경기도,광주시,쌍령동,1
경기도,광주시,오포읍,1
경기도,광주시,초월읍,1
경기도,광주시,탄벌동,1
경기도,광주시,퇴촌면,1
경기도,구리시,갈매동,1
경기도,구리시,교문1동,1
경기도,구리시,교문2동,1
경기도,구리시,동구동,1
경기도,구리시,수택1동,1
경기도,구리시,수택2동,1
경기도,구리시,수택3동,1
경기도,구리시,인창동,1
경기도,군포시,광정동,1
경기도,군포시,군포1동,1
경기도,군포시,군포2동,1
경기도,군포시,궁내동,1
경기도,군포시,금정동,1
경기도,군포시,대야동,1
경기도,군포시,산본1동,1
경기도,군포시,산본2동,1
경기도,군포시,송부동,1
경기도,군포시,수리동,1
경기도,군포시,오금동,1
경기도,군포시,재궁동,1
경기도,김포시,고촌읍,1
경기도,김포시,구래동,1
경기도,김포시,김포본동,1
경기도,김포시,대곶면,1
경기도,김포시,마산동,1
경기도,김포시,사우동,1
경기도,김포시,양촌읍,1
경기도,김포시,운양동,1
경기도,김포시,월곶면,1
경기도,김포시,장기동,1
경기도,김포시,장기본동,1
경기도,김포시,통진읍,1
경기도,김포시,풍무동,1
경기도,김포시,하성면,1
경기도,남양주시,금곡동,1
경기도,남양주시,다산1동,1
경기도,남양주시,다산2동,1
경기도,남양주시,별내동,1
경기도,남양주시,별내면,1
경기도,남양주시,수동면,1
경기도,남양주시,양정동,1
경기도,남양주시,오남읍,1
경기도,남양주시,와부읍,1
경기도,남양주시,조안면,1
경기도,남양주시,진건읍,1
경기도,남양주시,진접읍,1
경기도,남양주시,퇴계원읍,1
경기도,남양주시,평내동,1
경기도,남양주시,호평동,1
경기도,남양주시,화도읍,1
경기도,동두천시,보산동,1
경기도,동두천시,불현동,1
경기도,동두천시,상패동,1
경기도,동두천시,생연1동,1
경기도,동두천시,생연2동,1
경기도,동두천시,소요동,1
경기도,동두천시,송내동,1
경기도,동두천시,중앙동,1
경기도,부천시,대산동,4
경기도,부천시,범안동,3
경기도,부천시,부천동,5
경기도,부천시,상동,3
경기도,부천시,성곡동,3
경기도,부천시,소사본동,2
경기도,부천시,신중동,5
경기도,부천시,심곡동,5
경기도,부천시,오정동,4
경기도,부천시,중동,2
경기도,성남시분당구,구미1동,1
경기도,성남시분당구,구미동,1
경기도,성남시분당구,금곡동,1
경기도,성남시분당구,백현동,1
경기도,성남시분당구,분당동,1
경기도,성남시분당구,삼평동,1
경기도,성남시분당구,서현1동,1
경기도,성남시분당구,서현2동,1
경기도,성남시분당구,수내1동,1
경기도,성남시분당구,수내2동,1
경기도,성남시분당구,수내3동,1
경기도,성남시분당구,야탑1동,1
경기도,성남시분당구,야탑2동,1
경기도,성남시분당구,야탑3동,1
경기도,성남시분당구,운중동,1
경기도,성남시분당구,이매1동,1
경기도,성남시분당구,이매2동,1
경기도,성남시분당구,정자1동,1
경기도,성남시분당구,정자2동,1
경기도,성남시분당구,정자3동,1
경기도,성남시분당구,정자동,1
경기도,성남시분당구,판교동,1
경기도,성남시수정구,고등동,1
경기도,성남시수정구,단대동,1
경기도,성남시수정구,복정동,1
경기도,성남시수정구,산성동,1
경기도,성남시수정구,수진1동,1
경기도,성남시수정구,수진2동,1
경기도,성남시수정구,시흥동,1
경기도,성남시수정구,신촌동,1
경기도,성남시수정구,신흥1동,1
경기도,성남시수정구,신흥2동,1
경기도,성남시수정구,신흥3동,1
경기도,성남시수정구,양지동,1
경기도,성남시수정구,위례동,1
경기도,성남시수정구,태평1동,1
경기도,성남시수정구,태평2동,1
경기도,성남시수정구,태평3동,1
경기도,성남시수정구,태평4동,1
경기도,성남시중원구,금광1동,1
경기도,성남시중원구,금광2동,1
경기도,성남시중원구,도촌동,1
경기도,성남시중원구,상대원1동,1
경기도,성남시중원구,상대원2동,1
경기도,성남시중원구,상대원3동,1
경기도,성남시중원구,성남동,1
경기도,성남시중원구,은행1동,1
경기도,성남시중원구,은행2동,1
경기도,성남시중원구,중앙동,1
경기도,성남시중원구,하대원동,1
경기도,수원시권선구,곡선동,1
경기도,수원시권선구,구운동,1
경기도,수원시권선구,권선1동,1
경기도,수원시권선구,권선2동,1
경기도,수원시권선구,금곡동,1
경기도,수원시권선구,서둔동,1
경기도,수원시권선구,세류1동,1
경기도,수원시권선구,세류2동,1
경기도,수원시권선구,세류3동,1
경기도,수원시권선구,입북동,1
경기도,수원시권선구,평동,1
경기도,수원시권선구,호매실동,1
경기도,수원시영통구,광교1동,1
경기도,수원시영통구,광교2동,1
경기도,수원시영통구,망포1동,1
경기도,수원시영통구,망포2동,1
경기도,수원시영통구,매탄1동,1
경기도,수원시영통구,매탄2동,1
경기도,수원시영통구,매탄3동,1
경기도,수원시영통구,매탄4동,1
경기도,수원시영통구,영통1동,1
경기도,수원시영통구,영통2동,1
경기도,수원시영통구,영통3동,1
경기도,수원시영통구,원천동,1
