,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11
pct_m_1824,-0.12728236596626083,0.14422904735957742,0.07598127758349323,0.24451265169822256,-0.05006179510740667,0.2199443692603687,0.14389996704705055,-0.042806059156769834,-0.11774042642431988,-0.21039448946490158,-0.16270359918909108
pct_m_2529,-0.13792106475407495,0.07196493448293562,-0.02649274725561567,-0.004324550204487909,0.18546868607799163,0.25817027413352356,0.3433658829606321,0.026489333123885534,-0.12507693211266555,-0.08876653739201354,0.09782399060413034
pct_m_3034,-0.15753353305481826,0.06702649301877199,-0.08232790021157266,-0.11868149787091896,0.2685821215623036,0.03790446135455104,0.19476066264015288,0.11102097058925257,0.07905395301457889,0.057014157313994555,0.16376887864003703
pct_m_3539,-0.15409554067678707,0.12745346050498935,-0.08466045403916625,-0.11608634620028664,0.2161024179678084,-0.18284299963193693,-0.006092649794455283,0.09259589786743323,0.2037223189785504,0.09115872501592091,0.06648036508774326
pct_m_4044,-0.15514361664909682,0.17902332462061926,-0.007702958503158784,-0.001721096163672692,0.0799026675046786,-0.237325110256098,-0.18135287761664742,-0.02885473796302249,0.1264166935191057,0.07131416710344314,0.0027545967231583125
pct_m_4549,-0.13143145192880784,0.2033218728060218,0.09892002101761757,0.1338985420015715,-0.07038793646382419,-0.12772297151939582,-0.24594894213503896,-0.1367386199311863,-0.06771022786169323,0.04417335332590795,0.02565399671971175
pct_m_5054,-0.06767430280199659,0.1602224299228872,0.2084117161114865,0.2436438153906705,-0.13482555381546454,0.09939432865892092,-0.18329416978943192,-0.2031374519322942,-0.1671661323433132,0.13231262854259526,0.2647170649980846
pct_m_5559,0.11483940990853547,-0.026926132934001003,0.2518847339341159,0.08001394361187933,-0.06671798631539744,0.2092441505224469,0.022428521924249625,-0.039515215894627094,0.0337056351864721,0.28074904713583587,0.4323463351506902
pct_m_6064,0.1739077395954717,-0.11376551168288437,0.13361227082828245,-0.09006314363633151,-0.026927966354002332,0.07312445484507586,0.029932722815949542,-0.010134766094913589,0.07743805395948401,0.13493892446413058,0.14078970810661137
pct_m_6569,0.18297447643035897,-0.1433819898083919,0.04634781626208449,-0.10524828570575741,-0.038569992909981074,-0.020067711139269594,-0.007096973216189614,-0.03358850663722568,0.035765995614580534,0.02939086796288,0.010148504129315188
pct_m_70plus,0.18615406865929654,-0.13869626374069405,-0.03818779220313474,-0.08189190648835042,-0.06537860196477965,-0.08539801797458671,-0.016106323293975943,-0.1005681239053866,-0.11932948040255152,-0.07593077819955071,-0.0065573492148291584
pct_f_1824,-0.14608555310335442,0.10866045806904394,-0.02317870844640449,0.17933302752644423,-0.0219814094077736,0.23059275330527143,0.1950149553802235,-0.023779642052364783,-0.19107946068523546,-0.1904012698995654,-0.2018312006764051
pct_f_2529,-0.15855325937231862,0.044709569938375465,-0.13456010051482736,-0.029918704380729796,0.14774976285202093,0.19647623912782475,0.252699463657926,0.09280707161818157,-0.09585141979712707,0.006029869754993695,0.04395723645211142
pct_f_3034,-0.16781610210479214,0.07797030357520517,-0.1493139948254949,-0.10644749413622796,0.18892316310597415,-0.03888152018995112,0.08694795143950991,0.14123519004111132,0.13759362147098417,0.09403193429421804,0.050092035135112165
pct_f_3539,-0.16513754603387876,0.14369309806476457,-0.11514193033334162,-0.06073235895268448,0.09484839356409201,-0.17694060572330955,-0.08627155615249361,0.08470031349085241,0.19512200886582579,0.08943523195566502,-0.02266551043504717
pct_f_4044,-0.16316828242379433,0.17320905992916505,-0.023968312204204627,0.08723461265472154,-0.055697226139712196,-0.16620270785660746,-0.2121997853827099,0.007848826659038325,0.09004147889285744,0.012676486522474665,-0.08677381327973231
pct_f_4549,-0.157007873423204,0.15995923362595524,0.05022741690511241,0.19159454858763406,-0.13751261935106734,-0.014045568514233712,-0.1995994451994401,0.011817090115393421,0.0017040579180583695,-0.017752034192245768,-0.08877981859745124
pct_f_5054,-0.1476938923645671,0.09294957850698057,0.10847309435531109,0.23244663893258866,-0.14666577188373847,0.18096689557251097,-0.09930476798585175,0.1299509973679407,0.10236989382449212,0.045665697253729765,-0.07022312352644118
pct_f_5559,-0.029000188229127383,-0.08206440191532474,0.2312961139286425,0.14204382381978267,-0.09909445895728193,0.34122028017955625,-0.013736936126172074,0.3468962710843414,0.3868855806901011,0.21324254361178163,-0.05928285147556933
pct_f_6064,0.12717436424727302,-0.21203086136286872,0.12135963701486575,-0.04427704408765445,-0.05054954609337237,0.119889945478715,-0.014813265614170642,0.17751465108385753,0.27491680817213826,0.05559474815491906,-0.16237591592881145
pct_f_6569,0.15620770948017743,-0.21780223540214125,0.012046512158293275,-0.06271009797414728,-0.06553295323750019,-0.030721584104338236,-0.04841824559837501,0.012897763725430294,0.056775732360764164,-0.05821480905795925,-0.14950465274711278
pct_f_70plus,0.18590997127535497,-0.12647416772238704,-0.04653232473672483,-0.05808846318725741,-0.059218642111589,-0.08925444805534975,-0.011492364175977186,-0.09431765181278601,-0.14485769792650788,-0.08402505915179706,-0.020012696401188145
emp_men_total,0.1067496607795916,0.26661654113890815,0.05963699650772305,-0.23853364891582968,-0.022226883271707975,0.15382187279087875,-0.05723003715960477,-0.10304205673682776,0.08784367416197886,-0.0624750539432652,0.0494333443144742
emp_men_1529,0.0514930439522074,0.10248916895927214,-0.020180204214376343,-0.24210264799167652,0.2431412283106868,0.3244736951090346,-0.2883552730473155,-0.11849318787769851,-0.17898119691049535,0.06973768147428902,-0.09549746922424135
emp_men_3049,0.02668009826835224,0.19256645780627255,0.06952954496635808,-0.23948302001064659,-0.1955536274804136,0.09486053321890582,0.016873711381022106,-0.24532855091873834,0.2613636238415175,-0.25498817736180285,-0.16038886935566002
emp_men_5064,0.07971093339503449,0.24986532805481057,0.04350461963518936,-0.16180857815842745,-0.16178390623734237,0.04747753906743546,0.12623464151184513,-0.09301305098347555,0.2209572111137117,-0.09106165764148988,0.008666635379759995
emp_men_65plus,0.1772670372488983,0.19038639745384564,0.01545031807354326,0.0006421326162154055,0.027298163220462583,0.01620526497651247,0.03261892244052462,-0.027602158099999108,0.04534291271186538,-0.017668728318100003,0.03355601216019128
emp_wmn_total,0.14782617154739297,0.183657754576225,-0.14796581806306663,-0.03866495014272508,0.052446752884672515,0.15900202464626934,-0.025283524075697252,-0.20328105012041062,0.12185293680905615,0.16085558529500643,0.019048141315050473
emp_wmn_1529,-0.09783451717990221,-0.1033359710693735,-0.12948255479261891,-0.16939418282272187,0.14027245377116795,0.28557209705536857,-0.28328299542523055,-0.132609617514888,-0.04075493724675002,0.07915456223966953,-0.06702718743195413
emp_wmn_3049,0.07231143105033826,0.0644730379857002,-0.3205353610947405,-0.0043024456783272245,-0.08554694806057477,0.20726813415655596,-0.049731564560092825,-0.1465380962457336,0.07109554230564452,0.2970639296604143,-0.32541806381627736
emp_wmn_5064,0.1764892016899415,0.13991177705801647,-0.07961961210946547,0.07337575989904413,0.09320479573719313,0.031533557363549174,0.01610562950806939,-0.07088314713415124,0.11588665070593353,0.0406251225020463,-0.013249571113347375
emp_wmn_65plus,0.17959797952062717,0.15381679568164086,-0.019843114710773616,0.0685312579099305,0.08307704071784346,0.0007813216681311526,0.04099394049043789,-0.13213597753129663,0.0883014581052062,0.015076148915912684,0.049438724724432226
occ_wage_share,-0.18529666058980773,-0.12653962130718308,0.08399200664842635,-0.10186852757550097,-0.0019619826995875066,0.021795571602144525,0.00804565546120152,-0.15571157696737103,-0.026371693561454322,0.09796676052167422,-0.08804521583657433
occ_regular_share,-0.18569694055080627,-0.07332012685565917,0.07753517260741481,-0.17354526057396524,-0.10972497545964016,0.013417133908412418,0.02999349819906184,-0.09321393614810532,-0.039086181690596467,0.0735646500064105,-0.06336849124068063
occ_nonwage_share,0.18532319992794527,0.12658001471673724,-0.08408767167680023,0.10185791853536268,0.002274635584508191,-0.021667144506160013,-0.008467749429816797,0.155640756957685,0.025498589221869015,-0.09780347006343208,0.08767826632366849
job_professional,-0.1602803754147725,-0.07557716568384976,-0.15317255614714453,-0.09680157056782411,-0.26833555340531295,0.027672834265856924,0.047350778146859646,-0.01574207350959753,-0.05547886967634049,0.08857478925918362,0.13269797839496494
job_clerical,-0.17684187139300309,-0.07552010310148394,-0.04363941444291231,-0.14573492891427353,-0.17874368005336128,0.03417455045823583,0.0020025079725505567,-0.06447829242168485,0.00042237324058863157,0.0342835469658909,0.033463168244305334
job_service_sales,-0.07927105798651306,-0.23763774177527666,-0.027318745733595013,0.21103788623636205,0.16825639710062154,0.013654228948935082,-0.08721033244889576,-0.13320352029081295,0.23340331834374065,-0.20481837331884947,0.03203881936263835
job_skilled_machine,-0.032653305024113684,-0.012724692985742721,0.3993182451363664,-0.0687810844450254,0.22487838449469388,-0.0784012289755322,0.006197298039044792,-0.02765310303689459,-0.077425932268976,0.05547315594619692,-0.3104774042559633
job_simple_labor,0.08881049448129101,-0.045114023737398055,0.09753269032215425,0.16861545784001772,0.37024909091403096,0.02184709194561147,-0.0706181959097299,-0.23906969859056212,0.0897770001202812,-0.04263589921935916,0.03246581390602788
job_farming,0.18601057648235914,0.15334407057021532,-0.08551833270004539,0.04473442977529773,-0.0033228271743976933,-0.003939532353610922,0.000864562532519807,0.13815794388496766,-0.020010024924589646,-0.028818331319654854,0.035467997757039786
ind_agriculture,0.1864054643451736,0.15280478731358207,-0.08525390853727825,0.045997742320612885,-0.0025110800567315016,-0.005023786723429224,0.00042064333604728755,0.13211126193043804,-0.017715620352117985,-0.02782362050246208,0.0342697893622316
ind_manufacturing,-0.0474088120319414,0.05138258055535634,0.3852167340666562,-0.15370814063898353,0.10624906523539361,-0.1181831649159366,0.05666189521331447,0.09155252737220038,-0.17027595777704996,0.17985792484862181,-0.23082408414390995
ind_construction,-0.06617874825404202,-0.09635466806146571,0.21159861019641374,0.01188292972343499,0.22573281413421417,0.07252053462087066,0.0115388187166148,-0.24719387410754137,0.2340299047165533,-0.30188250966196456,0.020177707624748797
ind_retail_food,-0.13600357949583106,-0.2026974415588475,-0.09538002046352978,0.0716752693316053,0.05335049736335909,0.07060551901411972,-0.0892386785072837,-0.11451816915672643,0.14620519231229787,-0.05305883392438791,0.12441969656465765
ind_transport_finance,-0.15535092568806733,-0.10577621569087792,-0.13016463291867592,-0.150757885251538,-0.10634530185865775,0.1296556774206519,-0.09784329838725914,-0.0360370734997867,-0.10802108783418302,0.1433617898487687,0.02224891924174399
ind_services,-0.12267838274122911,-0.1657494058329014,-0.15661053315452744,0.1296646332977327,-0.1441379086331899,-0.022828109884369816,0.05025262418037871,-0.2295710717924407,0.11956547352057116,-0.11784754232366927,0.12009707916231895
nonp_male_share,0.06802100998344919,-0.11440231538247364,-0.12963514306192456,0.3195134025468774,0.19453564798431608,-0.08490766952182201,0.1051065099803996,-0.22715336492087704,-0.01951803962479972,0.40793894417616167,-0.11039727745574204
nonp_young_share,-0.07284255172939143,0.050810752835715595,0.0717844536080971,0.007398577347589337,-0.1872826389651529,-0.17861519096999545,0.46809531184166564,-0.32711580097359616,0.20324489878954538,0.2437947829741631,-0.13685964892677935
nonp_middle_share,-0.1278358199419634,0.04948838079125344,0.21229908606185402,-0.22051568259439994,0.004622440752593033,-0.04538335364953675,0.02211186269259946,-0.11048169029801679,-0.036542512439155614,0.010620086283377288,0.3611182862887063
