,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11,pc12
pct_m_1824,-0.12334813853161955,0.14948702269336825,0.07402976468207072,-0.26355930312227416,-0.04005469779836487,0.17361444165896742,0.12483691100311461,-0.0013212392346358688,-0.14791574461645352,-0.12487261434978972,-0.20945196128187574,-0.11570671852210634
pct_m_2529,-0.13997667866124186,0.05551902299237321,-0.03263866627512401,0.013136473583048508,0.16457288897522082,0.26593388600070333,0.3557550240004318,-0.014130235911998856,-0.1867290892636221,0.022934961823048265,0.05603086853919112,0.09638252231217906
pct_m_3034,-0.15931072928148723,0.05646758183365069,-0.12091928666242942,0.17292822702804206,0.21550936833195658,0.09711363754835618,0.1711350762583399,0.013028192286413824,0.07142397176698201,0.14845577280087494,0.1586998046386537,0.1625144664506275
pct_m_3539,-0.1522422702364602,0.15305630070704485,-0.09132309121884295,0.13473261419790125,0.19406442116807657,-0.1300927992461233,-0.0031462387353284596,-0.02671513221125187,0.22185972172465118,0.01577806265709219,0.185718904962107,0.0024433116077143442
pct_m_4044,-0.15861232312727983,0.15812700104066518,-0.04323909778898404,0.03436242320491969,0.07958927780485887,-0.17264700182481985,-0.2467152585230152,0.0561900253464727,0.14365638866781696,0.0693793907865927,0.1022154763707756,0.030917514984529777
pct_m_4549,-0.12191926356129523,0.19738724124777976,0.07741860307252683,-0.16774769002760595,-0.06825884694863872,-0.09268129772268333,-0.26821268661720793,0.05801737799485055,-0.08390903038126893,-0.028821529093072125,0.10263141921213768,-0.008550466774773209
pct_m_5054,-0.04710466738441508,0.10049547099454935,0.19806147456399503,-0.24167244369136304,-0.19625178757448802,0.14208066637158767,-0.24354088454273604,0.1175092764836051,-0.23604876498944047,0.17755082690174986,0.33585210852075253,0.1886629917375124
pct_m_5559,0.12640437376279207,-0.03578696120378787,0.2552424596679501,-0.047521539995333276,-0.12034301763423767,0.20129054723254397,0.033016805110881856,0.05107614878677005,0.016805428107803496,0.15098863555247344,0.4525926786412874,0.10071890265884387
pct_m_6064,0.17488404584485065,-0.1271097320704487,0.1523419349845983,0.06964622428610313,-0.03963591115573205,0.054105249328041574,0.03227777857098718,0.010081939073820718,0.06865305739688878,0.06859579682945788,0.16779659768294528,0.04491812771711664
pct_m_6569,0.17622273642205288,-0.1689062323432153,0.04579266951561048,0.10979547239478836,-0.03176714232339647,-0.0323089334911001,-0.03676136023223215,0.05696902630122217,0.03836473051098884,0.04959885269303837,-0.052758790959494,0.013434105120239907
pct_m_70plus,0.19142552821086942,-0.13601273614326892,-0.012998997667322074,0.08079844814535053,-0.04732267453374307,-0.11331534713239777,-0.017234798916427558,0.04846300720845755,-0.1522825732695891,-0.08731841805158382,-0.045879729973492524,-0.014351236058542183
pct_f_1824,-0.14922068146933956,0.1167980618815632,-0.01867089150050667,-0.20578027806752838,-0.012413007423882938,0.17622922534726296,0.18598413332906813,-0.0354419645160923,-0.2068799259229069,-0.10975732529909325,-0.24269734470882798,-0.13604233486467837
pct_f_2529,-0.1629221342524253,0.03673989963183311,-0.13837389243124876,0.030563871479854097,0.13064728519936752,0.19453626238739474,0.2887564901935687,-0.07039419407688963,-0.10309008071445108,0.04215222449592012,0.009548349715041184,0.04979241024169413
pct_f_3034,-0.17073266094055536,0.07042285692730027,-0.18279805424901494,0.14165681483087658,0.14880684511635087,0.008362549425206674,0.07970033697187302,-0.03108746847907926,0.16394971030999017,0.10678916810608105,0.0768855107743904,0.06251311466344557
pct_f_3539,-0.16411400964411385,0.15787023643430684,-0.12120972936294183,0.05940112121748401,0.10212044401581116,-0.14814848962501373,-0.07874273196769652,-0.04137233024301657,0.23543742234746529,-0.01642875090480052,0.049412455743977866,-0.06297932935531297
pct_f_4044,-0.16979241170721968,0.14509236837520617,-0.06246934013917344,-0.07733528993160683,-0.0354778083449064,-0.12445390772282934,-0.25834566393934383,0.017903171204432362,0.1250455766482955,0.03162117434599589,-0.11133467784425359,-0.014036099382123496
