,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11,pc12
pct_m_1824,-0.12387696987770468,0.10232136317851874,-0.015672977156063632,-0.2590655240510568,0.05717352149023411,0.25643523572137406,0.1609910195032241,-0.0161366363407252,-0.11697954231715414,-0.12753083509724147,-0.1667998675258673,-0.2036947482276331
pct_m_2529,-0.13628994452103016,0.021870338630154362,0.03696004815909287,0.11644587037428467,0.17548516629322208,0.2564439915302122,0.3286506181229969,-0.1002183802303947,-0.09056475283361876,-0.1041944866673083,0.0980086259666336,0.1359224632428452
pct_m_3034,-0.1577130918337775,0.059236049987261966,0.0927456803716618,0.23094878161553867,0.1747016113113022,0.016016528988665422,0.18519725860739555,-0.0942733071278415,0.09911623103510826,0.047468974281542016,0.13572970725320152,0.1639678448202538
pct_m_3539,-0.15597888634054233,0.13370254734043496,0.11207302484173935,0.1697996140179535,0.12375770982468036,-0.1990335850805011,-0.0009221334096292377,-0.022734469373145345,0.19493488444634405,0.13052874519141372,0.05254805962734321,0.013691252852575442
pct_m_4044,-0.15465099912652122,0.19123098846102826,0.050677131389488955,-0.01916487898476049,0.07260139529933546,-0.2424437731356065,-0.16096806448748668,0.06622433294285406,0.07642885106040477,0.08153012208066301,0.04616643543232859,0.01483778059507932
pct_m_4549,-0.12261435554574476,0.2052705272498548,-0.023491675966109838,-0.2096318728240485,-0.010855893396238095,-0.10939698761721672,-0.20329715974368573,0.15954819892833466,-0.13909746152376964,-0.008196330002779464,0.05552244605271102,0.1273835238424722
pct_m_5054,-0.047324562451838956,0.15970027643733245,-0.13526596842189445,-0.29403823791178296,-0.058848202347067675,0.14808996681735914,-0.13580310955276115,0.17606344184648898,-0.17530053372133986,-0.0325522276353087,0.27553904759064274,0.29558103629171173
pct_m_5559,0.13899133718559561,0.017644486909272346,-0.223900874029407,-0.07728269975571553,-0.05255984679639041,0.21381918755155138,0.02251934095491021,0.07362960030135944,0.07425081116104851,0.12124671722403248,0.3576096286244456,0.29757105889732843
pct_m_6064,0.1894020715453773,-0.07690114588309781,-0.16376638817867523,0.061105196446104015,-0.04703779313377359,0.06358386896077833,0.01769007138189218,0.03880191691768524,0.06831449942703587,0.10153132450705675,0.14740659408708046,0.11670719689693936
pct_m_6569,0.19517908958196717,-0.13082117554701247,-0.08947793874323608,0.0808431908222683,-0.07185412444012065,-0.04801487837586004,-0.02658999171692236,0.037295561932624004,0.02152865516173993,0.015243991773022417,0.02846892561286097,-0.015396362252395279
pct_m_70plus,0.19620868979798153,-0.13720995279185494,-0.0038018489848586643,0.06671980541975818,-0.10631451337880468,-0.09380538597142345,-0.0063983668104040225,0.08351590033803331,-0.12195082407808522,-0.13041709938142318,-0.04656733036085056,0.005503745375942974
pct_f_1824,-0.15282006090433647,0.040150398299168506,0.05641771874120692,-0.15758716112707077,0.06416208972368083,0.2645481609915102,0.19736553018695294,-0.06495213097106113,-0.18267124900879442,-0.16823143237036833,-0.1441724451756994,-0.2045739679108779
