,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11
pct_m_1824,-0.12795069241573948,0.10328620367588602,0.020682159052124716,0.301716764179289,-0.0402596575656835,0.19746008278542254,0.10823232235220935,-0.03201760561286979,-0.059028843110746416,-0.1709707145027002,-0.2072588673878204
pct_m_2529,-0.1346385038796467,0.021707878410045456,0.00012270509515931519,-0.010054724257732572,0.19335822756910434,0.2954943351562095,0.3368007089494056,-0.14139230055574778,-0.1435079289698492,-0.04757872743699287,0.1360190009991719
pct_m_3034,-0.15830908742872093,0.08071410648792017,-0.0401034899638754,-0.15803253570364617,0.22645560343673296,0.09863775275911911,0.19869668429169482,-0.10439742678829002,0.06313289039457436,0.058677578924610264,0.22097897842936245
pct_m_3539,-0.14872337246692202,0.15906985097069454,-0.043263086396422075,-0.14785919079246262,0.19472026564198086,-0.15091360241197532,-0.016696069105731022,-0.001769079283419634,0.21960082180675472,0.09336509314475537,0.1355683385018939
pct_m_4044,-0.14724340785499646,0.18902531624295246,-0.005491063693490035,-0.017735304417209715,0.10431903900485731,-0.22892096491816993,-0.1590450313416477,0.06543209377876147,0.13796355430498816,0.07458917116101256,0.07250670326105581
pct_m_4549,-0.12058595005295193,0.18045217999807006,0.04468864819319286,0.2208564658715813,-0.06672565184528396,-0.12097366466065256,-0.2295883565563661,0.1316623013323707,-0.1450289816800395,0.08693354445909354,0.0959699009927214
pct_m_5054,-0.03569932768998053,0.09320448396547396,0.17013551655261167,0.33438370947093654,-0.20308095216229244,0.11669517048929293,-0.13883782133654748,0.07987038586998328,-0.25406202551222606,0.2517372140144996,0.3529427978462215
pct_m_5559,0.12778195695734043,-0.06127407624119103,0.24951043215769858,0.06780596460564135,-0.13654027774481853,0.1733650650889145,0.04365504702398628,0.018788497940053564,0.014368516711911425,0.2904897932934702,0.3719808990796967
pct_m_6064,0.17096337078599028,-0.12811259970148414,0.1491391884900772,-0.06947503836745539,-0.07033235508188292,0.044602838535269536,0.03639243744276824,0.028618843412607318,0.09746054929709323,0.14167596502296748,0.13189784750357084
pct_m_6569,0.17430520217561585,-0.15738482107535015,0.05514685160474548,-0.09904669894887445,-0.06704187628185745,-0.052893266230418096,-0.002864241820659421,0.036020124737488356,0.040838464045157875,0.03374834487897624,0.029642428042239797
pct_m_70plus,0.18785983380551652,-0.11165652785011829,-0.022595054074504604,-0.096840612925586,-0.05282005341138888,-0.08291380751475871,-0.008281422301360556,0.06887932291100748,-0.18892283899816473,-0.06933601761603911,-0.04129230670760027
pct_f_1824,-0.1562270481245537,0.07318735725204195,-0.06417323979503432,0.20695172433536171,-0.005635244056791928,0.20826783628097728,0.1268645685617779,-0.07573158838445235,-0.13841242169491622,-0.12431444148924736,-0.22852831755126113
pct_f_2529,-0.16227063985192386,0.01222050251365382,-0.10608359789320637,-0.0555484201676441,0.1520636148427261,0.23785108571022223,0.2264177207200394,-0.13332821683102197,-0.0881989433011134,0.014682730772959415,0.03993316174972686
pct_f_3034,-0.1695971946749988,0.10100210429129723,-0.12115231953408799,-0.15742468104441157,0.15037510323242048,0.015744602218428376,0.07080227185317958,-0.06723415885379241,0.155688629987518,0.06527239929135994,0.06482008181596312
pct_f_3539,-0.15938189413310788,0.16096261259232614,-0.09491595704942098,-0.08353847493112418,0.10548815344419095,-0.16578276595385,-0.10243149132611268,0.0244788198149308,0.24259379735430503,0.056877005264956475,0.0007332251625708881
pct_f_4044,-0.16249123067162294,0.16400882994018312,-0.05790094236341864,0.0943952789990975,-0.01705937898508332,-0.15896925484740626,-0.20180885033163454,0.05103455837894825,0.1245538877919946,-0.007515029106454625,-0.08472928361790219
pct_f_4549,-0.1568659477851033,0.12470303903985473,-0.025193899333533675,0.24389651082587935,-0.11951271560416078,-0.0031594052587555436,-0.17793967522872994,0.005374544627071543,0.0387972629025794,-0.03656521814275165,-0.1400520110131877
pct_f_5054,-0.14018172690739836,0.029108170994342066,0.06550422127337195,0.27216981864584616,-0.15756546669208857,0.18120569889957366,-0.08193311800342785,-0.12040653966208285,0.24648816739848828,-0.0063972675089619445,-0.11800585300536723
pct_f_5559,0.027515418171279487,-0.16397409133194063,0.21238422991264388,0.11527579714875924,-0.12543086370694834,0.2630160772926057,0.016308110315540938,-0.15434092435198254,0.5737129905481648,0.031365540664437586,-0.0787526858816397
