prov,sgg,dong_norm,median_apt_price_sqm
Busan,강서,녹산동,282.34372319020287
Busan,강서,대저동,410.01385837742134
Busan,강서,명지동,635.1159809042704
Busan,강서,신호동,275.8494570752383
Busan,강서,지사동,278.3850718233765
Busan,금정,구서동,384.0707321944046
Busan,금정,금사동,328.82480483742813
Busan,금정,남산동,253.24469768914213
Busan,금정,부곡동,479.247182475891
Busan,금정,서동,291.9829815633603
Busan,금정,장전동,528.4726214096312
Busan,금정,청룡동,319.073505081541
Busan,금정,회동동,260.7580904745676
Busan,기장,고촌리,410.73319995292456
Busan,기장,교리,257.7777022528603
Busan,기장,내리,705.8585435475541
Busan,기장,달산리,399.5319402856944
Busan,기장,대라리,290.45686277438404
Busan,기장,대변리,367.0980068246857
Busan,기장,동부리,268.2826381126081
Busan,기장,매학리,505.8874118168701
Busan,기장,모전리,375.6591699698766
Busan,기장,방곡리,380.0391732686292
Busan,기장,삼성리,758.9853669627379
Busan,기장,서부리,261.15394431485674
Busan,기장,용수리,383.79703196961947
Busan,기장,이천리,356.9767536738008
Busan,기장,청강리,369.39534906629166
Busan,남,감만동,286.6547549861267
Busan,남,대연동,370.9810387469085
Busan,남,문현동,381.7152585844737
Busan,남,용당동,366.61758757949576
Busan,남,용호동,351.4644351464435
Busan,남,우암동,299.7719126751385
Busan,동,범일동,477.15736040609136
Busan,동,수정동,316.2816281628163
Busan,동,좌천동,275.98715197238846
Busan,동,초량동,349.5977746034133
Busan,동래,낙민동,491.54433034331237
Busan,동래,명륜동,889.6118290118961
Busan,동래,명장동,403.3018867924528
Busan,동래,복천동,459.3639575971731
Busan,동래,사직동,588.674375946294
Busan,동래,수안동,612.6958617918842
Busan,동래,안락동,569.3378000221605
Busan,동래,온천동,352.82401479584576
Busan,동래,칠산동,1209.2934679108741
Busan,부산진,가야동,354.1912632821724
Busan,부산진,개금동,378.1194857574994
Busan,부산진,당감동,353.03587315185723
Busan,부산진,범전동,1117.7404230235702
Busan,부산진,범천동,424.71259263111517
Busan,부산진,부암동,399.3080448246902
Busan,부산진,부전동,333.88424233318307
Busan,부산진,양정동,511.7519586597766
Busan,부산진,연지동,393.50301406563966
Busan,부산진,전포동,355.40344872976175
Busan,부산진,초읍동,296.9339071831315
Busan,북,구포동,283.3333333333333
Busan,북,금곡동,239.25385239253853
Busan,북,덕천동,318.57709771205964
Busan,북,만덕동,313.2738198977883
Busan,북,화명동,400.09413979759944
Busan,사상,감전동,404.4897504598947
Busan,사상,괘법동,407.8218132385235
Busan,사상,덕포동,248.53801169590642
Busan,사상,모라동,257.523324390968
Busan,사상,삼락동,329.5668549905838
Busan,사상,엄궁동,288.42947649216404
Busan,사상,주례동,300.03529827038477
Busan,사상,학장동,245.80632706573599
Busan,사하,감천동,231.10386079390972
Busan,사하,괴정동,333.92939730752727
Busan,사하,구평동,418.01379034347025
Busan,사하,다대동,258.88444698330926
Busan,사하,당리동,236.3587421636455
Busan,사하,신평동,237.74571486753507
Busan,사하,장림동,211.59542953872196
Busan,사하,하단동,377.7772203711104
Busan,서,남부민동,429.17388357557047
Busan,서,동대신동1가,368.46816605124764
Busan,서,동대신동2가,311.771308599341
Busan,서,동대신동3가,344.1219781568291
Busan,서,부민동1가,347.35547611478125
Busan,서,부민동3가,328.87254901960785
Busan,서,부용동1가,412.95498790631825
Busan,서,서대신동1가,445.96534622513934
Busan,서,서대신동2가,400.36725836069223
Busan,서,서대신동3가,360.6686455216342
Busan,서,아미동2가,274.7410053391579
Busan,서,암남동,300.10662611892695
Busan,서,초장동,319.62681409813405
Busan,서,충무동1가,471.9946497138044
Busan,서,충무동2가,305.5091819699499
Busan,서,충무동3가,405.7382987972757
Busan,서,토성동1가,526.9128684869866
Busan,서,토성동2가,329.4763679152775
Busan,서,토성동3가,363.8897491483431
Busan,서,토성동5가,336.53037186606093
Busan,수영,광안동,447.01044843778243
Busan,수영,남천동,675.5764429431634
Busan,수영,망미동,600.4308974675945
Busan,수영,민락동,833.6824367178488
Busan,수영,수영동,875.0393767719547
Busan,연제,거제동,519.7505197505197
Busan,연제,연산동,447.62721138910047
Busan,영도,남항동1가,418.17904380615937
Busan,영도,남항동2가,380.00921234454165
Busan,영도,남항동3가,190.21739130434784
Busan,영도,대교동1가,464.6327519367269
Busan,영도,대교동2가,302.7447284721404
Busan,영도,대평동1가,228.94324617423788
Busan,영도,동삼동,278.55153203342616
Busan,영도,봉래동1가,304.6772068511199
Busan,영도,봉래동2가,493.40555817239755
Busan,영도,봉래동3가,284.60700012110937
Busan,영도,봉래동4가,191.69861643607268
Busan,영도,봉래동5가,183.33333333333334
Busan,영도,신선동2가,126.51265126512652
Busan,영도,영선동1가,277.7122641509434
Busan,영도,영선동2가,468.51640396002307
Busan,영도,영선동3가,289.06527662599217
Busan,영도,영선동4가,406.1976549413735
Busan,영도,청학동,250.208507089241
Busan,중,대창동1가,272.2323049001815
Busan,중,대청동1가,354.8895899053628
Busan,중,대청동2가,412.71506840536995
Busan,중,대청동4가,222.26021542143957
Busan,중,동광동5가,220.15655577299412
Busan,중,보수동1가,75.63256325632564
Busan,중,보수동2가,344.33129736671685
Busan,중,보수동3가,457.0585176319811
Busan,중,부평동2가,216.747232184625
Busan,중,부평동4가,313.46749226006193
Busan,중,신창동1가,243.44569288389513
Busan,중,영주동,250.12590229981535
Busan,중,중앙동4가,649.6499899437741
Busan,해운대,반송동,250.33377837116154
Busan,해운대,반여동,473.43558251029833
Busan,해운대,송정동,376.63551236287356
Busan,해운대,우동,1001.091778916536
Busan,해운대,재송동,368.99652690130415
Busan,해운대,좌동,621.6884493111974
Busan,해운대,중동,574.7126436781609
Chungbuk,괴산,대사리,113.06532663316584
Chungbuk,괴산,동부리,243.39864530315634
Chungbuk,괴산,목도리,74.81193226793908
Chungbuk,괴산,서부리,85.24904214559388
Chungbuk,단양,도전리,131.13367174280881
Chungbuk,단양,별곡리,212.76428081733005
Chungbuk,단양,상진리,149.19141729702534
Chungbuk,단양,평동리,93.86446886446888
Chungbuk,보은,관기리,29.889409186011754
Chungbuk,보은,교사리,90.57971014492753
Chungbuk,보은,삼산리,210.84951030793505
Chungbuk,보은,이평리,218.1303211213912
Chungbuk,보은,장신리,264.49548192771084
Chungbuk,보은,죽전리,157.42223341669217
Chungbuk,영동,계산리,294.71732048800067
Chungbuk,영동,구촌리,100.65425264217413
Chungbuk,영동,남성리,76.78183942580537
Chungbuk,영동,동정리,282.38098611171483
Chungbuk,영동,매천리,128.278983459046
Chungbuk,영동,부용리,108.8048208905256
Chungbuk,영동,설계리,144.76766261840146
Chungbuk,영동,초강리,64.18806268756254
Chungbuk,옥천,강청리,161.8057082008308
Chungbuk,옥천,금구리,150.1384914372912
Chungbuk,옥천,대천리,62.578222778473084
Chungbuk,옥천,마암리,278.7351765461874
Chungbuk,옥천,문정리,174.5235707121364
Chungbuk,옥천,삼양리,203.3802186506175
Chungbuk,옥천,양수리,293.22108795134704
Chungbuk,옥천,장야리,214.62105969148223
Chungbuk,옥천,죽향리,139.7255689424364
Chungbuk,음성,금석리,306.11824405865696
Chungbuk,음성,내송리,98.6582503843975
Chungbuk,음성,대풍리,132.5415091237876
Chungbuk,음성,덕정리,116.07661056297155
Chungbuk,음성,동성리,435.36503683858007
Chungbuk,음성,무극리,136.5015166835187
Chungbuk,음성,본대리,53.5264483627204
Chungbuk,음성,부윤리,72.38508867173363
Chungbuk,음성,삼정리,141.7502993432792
Chungbuk,음성,소석리,277.995571898791
Chungbuk,음성,신양리,191.089597457869
Chungbuk,음성,신천리,175.07294706127553
Chungbuk,음성,오류리,102.95698798832353
Chungbuk,음성,오산리,80.40201005025125
Chungbuk,음성,오선리,83.9630562552477
Chungbuk,음성,오향리,153.28151986183073
Chungbuk,음성,용촌리,85.71036752605595
Chungbuk,음성,읍내리,113.67538564721663
Chungbuk,음성,태생리,125.5020080321285
Chungbuk,음성,평곡리,78.86064030131828
