prov,sgg,dong_norm,median_apt_price_sqm
Busan,강서,강동동,652.4201962913328
Busan,강서,대저동,399.0744542464975
Busan,강서,명지동,547.8689983315397
Busan,강서,신호동,251.6020374630299
Busan,강서,지사동,233.36016975285492
Busan,강서,화전동,300.63333422409875
Busan,금정,구서동,482.76584796643715
Busan,금정,금사동,309.7462325431064
Busan,금정,남산동,244.63519313304718
Busan,금정,부곡동,447.17035307629664
Busan,금정,서동,268.9918002339012
Busan,금정,장전동,600.9448702421346
Busan,금정,청룡동,295.43843063105646
Busan,금정,회동동,246.81085121536717
Busan,기장,고촌리,395.5267804590936
Busan,기장,교리,241.24742571344515
Busan,기장,내리,505.9496144781601
Busan,기장,달산리,350.01750087504377
Busan,기장,대라리,273.6930556389172
Busan,기장,대변리,436.7301892694212
Busan,기장,동부리,247.1024298405601
Busan,기장,매학리,435.2992388145743
Busan,기장,명례리,191.73643366628158
Busan,기장,모전리,333.39597136431695
Busan,기장,방곡리,320.10991902242233
Busan,기장,삼성리,588.3332343707541
Busan,기장,서부리,324.67532467532465
Busan,기장,용수리,358.8878569395109
Busan,기장,이천리,482.547315517486
Busan,기장,청강리,337.61652809271857
Busan,남,감만동,262.0003824823102
Busan,남,대연동,797.4244675581971
Busan,남,문현동,517.0294489967126
Busan,남,용당동,300.70773481344753
Busan,남,용호동,526.577062747908
Busan,남,우암동,290.3266833489504
Busan,동,범일동,515.9157252475823
Busan,동,수정동,393.7449634306815
Busan,동,좌천동,395.70319638621254
Busan,동,초량동,605.0921252760733
Busan,동래,낙민동,484.2824361765447
Busan,동래,명륜동,784.5912947091838
Busan,동래,명장동,505.85875506461775
Busan,동래,복천동,365.72438162544165
Busan,동래,사직동,638.1700785825117
Busan,동래,수안동,452.8619528619529
Busan,동래,안락동,493.20381856786986
Busan,동래,온천동,634.8926209546034
Busan,동래,칠산동,689.3924966673015
Busan,부산진,가야동,441.45843979782205
Busan,부산진,개금동,350.6294858218614
Busan,부산진,당감동,323.84913593700196
Busan,부산진,범전동,891.4239718321793
Busan,부산진,범천동,442.7898885594831
Busan,부산진,부암동,389.48334940599545
Busan,부산진,부전동,485.14070158730146
Busan,부산진,양정동,424.3563574947698
Busan,부산진,연지동,426.0361429890516
Busan,부산진,전포동,656.0765816653818
Busan,부산진,초읍동,587.6762292620365
Busan,북,구포동,324.89740082079345
Busan,북,금곡동,263.06875917353506
Busan,북,덕천동,283.74577122340986
Busan,북,만덕동,392.68670935346233
Busan,북,화명동,509.3436742939812
Busan,사상,감전동,506.19613412877044
Busan,사상,괘법동,430.0086001720034
Busan,사상,덕포동,267.5361591840147
Busan,사상,모라동,236.28354024829798
Busan,사상,삼락동,289.2096697534963
Busan,사상,엄궁동,268.82497470732767
Busan,사상,주례동,287.2531436672592
Busan,사상,학장동,221.42088111740222
Busan,사하,감천동,227.77047744196236
Busan,사하,괴정동,376.8137103668517
Busan,사하,구평동,373.4192476690601
Busan,사하,다대동,258.8533736830835
Busan,사하,당리동,278.08709214386215
Busan,사하,신평동,282.26252718518197
Busan,사하,장림동,205.93201889867555
Busan,사하,하단동,328.50582832921225
Busan,서,남부민동,334.1687552213868
Busan,서,동대신동1가,656.2079299684074
Busan,서,동대신동2가,561.2244897959183
Busan,서,동대신동3가,576.8438421304351
Busan,서,부민동1가,356.5062388591801
Busan,서,부민동3가,315.0
Busan,서,부용동1가,521.7719374997491
Busan,서,서대신동1가,647.5128443002387
Busan,서,서대신동2가,706.4749607612032
Busan,서,서대신동3가,448.43049327354265
Busan,서,아미동2가,200.58351568198395
Busan,서,암남동,630.6409568428206
Busan,서,충무동1가,449.84022540486575
Busan,서,충무동2가,368.29463570856683
Busan,서,토성동1가,585.9424300657008
Busan,서,토성동2가,341.0368214835559
Busan,서,토성동5가,272.92425725229504
Busan,수영,광안동,530.707014646764
Busan,수영,남천동,1104.679208876025
Busan,수영,망미동,571.0201952771332
Busan,수영,민락동,929.5918862655775
Busan,수영,수영동,825.7649826029597
Busan,연제,거제동,658.7375714033848
Busan,연제,연산동,633.5282651072124
Busan,영도,남항동1가,421.0931276383918
Busan,영도,남항동2가,420.16806722689074
Busan,영도,남항동3가,174.64263957952596
Busan,영도,대교동1가,472.95999054080016
Busan,영도,대교동2가,457.14285714285717
Busan,영도,대평동1가,206.19034831521313
Busan,영도,동삼동,239.78774529435324
Busan,영도,봉래동1가,293.68828884034906
Busan,영도,봉래동2가,375.38334512856807
Busan,영도,봉래동3가,358.9835938612628
Busan,영도,봉래동4가,600.963198947831
Busan,영도,봉래동5가,144.7999069334574
Busan,영도,신선동2가,124.35961791687583
Busan,영도,영선동1가,394.93819894055326
Busan,영도,영선동2가,440.2629325593964
Busan,영도,영선동3가,321.3481814950835
Busan,영도,영선동4가,348.40871021775547
Busan,영도,청학동,218.03763899154717
Busan,중,대창동1가,385.3030022809938
Busan,중,대청동1가,311.51419558359623
Busan,중,대청동4가,302.8503562945368
Busan,중,동광동5가,251.77982288591767
Busan,중,보수동1가,191.20753647370898
Busan,중,보수동2가,341.8560130379698
Busan,중,보수동3가,438.445921360031
Busan,중,부평동2가,233.55654580395793
Busan,중,부평동4가,308.9249430984435
Busan,중,신창동1가,224.7191011235955
Busan,중,영주동,244.3385414399907
Busan,중,중앙동4가,676.347934735984
Busan,해운대,반송동,221.97002594910134
Busan,해운대,반여동,441.2813398007527
Busan,해운대,송정동,448.334246746965
Busan,해운대,우동,1009.2027417070249
Busan,해운대,재송동,661.2291082247
Busan,해운대,좌동,534.4021376085504
Busan,해운대,중동,782.6273211078707
Chungbuk,괴산,대사리,103.01507537688443
Chungbuk,괴산,동부리,291.7897046587978
Chungbuk,괴산,목도리,77.87284441976033
Chungbuk,괴산,서부리,165.0
Chungbuk,단양,도전리,388.87212941664467
Chungbuk,단양,별곡리,280.0164715571504
Chungbuk,단양,상진리,162.60162601626016
Chungbuk,단양,평동리,108.63095238095238
Chungbuk,보은,관기리,36.86360466274783
Chungbuk,보은,교사리,103.51966873706004
Chungbuk,보은,삼산리,104.8124281848778
Chungbuk,보은,이평리,220.4103371618483
Chungbuk,보은,장신리,233.42981765796532
Chungbuk,보은,죽전리,54.220887554220894
Chungbuk,보은,창리,117.77482066106855
Chungbuk,영동,계산리,151.59217495802636
Chungbuk,영동,구촌리,142.59352457641336
Chungbuk,영동,남성리,122.82888520432645
Chungbuk,영동,동정리,221.46614157758907
Chungbuk,영동,매천리,361.1342788878924
Chungbuk,영동,부용리,88.2180970337176
Chungbuk,영동,설계리,102.29476590933449
Chungbuk,영동,초강리,60.85361787262421
Chungbuk,옥천,강청리,178.41380735064885
Chungbuk,옥천,건진리,58.50885991307255
Chungbuk,옥천,금구리,189.53708077468113
Chungbuk,옥천,대천리,324.4864559353292
Chungbuk,옥천,동안리,398.4466933396093
Chungbuk,옥천,마암리,188.7237556027365
Chungbuk,옥천,문정리,196.64590839870905
Chungbuk,옥천,양수리,347.494213337888
Chungbuk,옥천,장야리,254.86250838363515
