"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2022-01-01 ~ 2022-01-31"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","경기도 김포시 풍무동","147","0147","0000","양도마을(서해그랑블)","108.6002","202201","31","50,000","-","10","-","-","2000","양도로 18","-","중개거래","경기 김포시","-"
"2","경기도 안산시 단원구 초지동","801","0801","0000","롯데캐슬더퍼스트","84.9700","202201","31","74,700","-","13","-","-","2018","원초로 61","-","중개거래","경기 안산단원구","-"
"3","울산광역시 남구 무거동","220-1","0220","0001","부성타워맨션","84.8500","202201","31","15,500","-","3","-","-","1989","북부순환도로 43","-","직거래","-","-"
"4","광주광역시 광산구 소촌동","612","0612","0000","서라2","59.9850","202201","31","9,900","-","10","-","-","1995","어등대로665번길 26","-","중개거래","광주 광산구","-"
"5","대전광역시 유성구 원신흥동","485","0485","0000","양우내안애레이크힐","70.8387","202201","31","50,000","-","3","-","-","2015","도안동로 446","-","중개거래","대전 유성구","-"
"6","광주광역시 북구 오치동","1005","1005","0000","주공","52.0900","202201","31","11,900","-","5","-","-","1992","서하로194번길 15","20220307","중개거래","광주 북구","-"
"7","광주광역시 북구 문흥동","787-1","0787","0001","주공","58.0100","202201","31","15,000","-","1","-","-","1990","면앙로31번길 10","-","중개거래","광주 북구","-"
"8","충청북도 증평군 증평읍 장동리","921","0921","0000","증평4단지주공","51.4900","202201","31","9,600","-","8","-","-","2003","문화로 97","-","중개거래","충북 증평군","-"
"9","충청북도 증평군 증평읍 장동리","921","0921","0000","증평4단지주공","59.9200","202201","31","13,500","-","4","-","-","2003","문화로 97","-","중개거래","충북 증평군","-"
"10","충청북도 청주시 흥덕구 봉명동","2758","2758","0000","두진하트리움","136.4970","202201","31","26,000","-","15","-","-","2003","덕암로30번길 19","-","중개거래","충북 청주흥덕구","-"
"11","대구광역시 달서구 대곡동","1123","1123","0000","수목원제일풍경채","99.9400","202201","31","53,000","-","7","-","-","2018","갈밭남로 12","-","중개거래","대구 달서구","-"
"12","광주광역시 동구 계림동","1815","1815","0000","두산위브2차","39.8620","202201","31","20,000","-","12","-","-","2018","계림로30번길 15","-","직거래","-","-"
"13","부산광역시 연제구 거제동","1272","1272","0000","거제아시아드삼정그린코아","84.8673","202201","31","45,000","-","16","-","-","2001","월드컵대로 325","-","직거래","-","-"
"14","서울특별시 구로구 구로동","46-4","0046","0004","하나세인스톤3차","19.9900","202201","31","13,000","-","14","-","-","2011","공원로6길 16-22","-","중개거래","서울 영등포구","-"
"15","서울특별시 중구 회현동2가","87","0087","0000","쌍용남산플래티넘","177.0000","202201","31","250,000","-","23","-","-","2010","소공로 46","-","중개거래","서울 중구","-"
"16","광주광역시 광산구 쌍암동","694-59","0694","0059","쌍암중흥에스-클래스리버시티","76.9179","202201","31","53,000","-","16","-","-","2017","월계로 223-8","-","중개거래","광주 광산구","-"
"17","경기도 용인시 처인구 포곡읍 둔전리","147","0147","0000","신원2차","59.9600","202201","31","29,500","-","20","-","-","1999","포곡로 98-1","-","중개거래","경기 용인시 처인구","-"
"18","대구광역시 동구 검사동","908-130","0908","0130","해오름타운A","84.7626","202201","31","21,000","-","8","-","-","2014","입석로 106","-","직거래","-","-"
"19","인천광역시 부평구 부평동","147-9","0147","0009","태강플러스","49.9200","202201","31","21,400","-","9","-","-","2014","부평문화로105번길 41","-","중개거래","인천 부평구","-"
"20","경기도 광주시 양벌동","1111","1111","0000","광주역우방아이유쉘2단지","77.8977","202201","31","66,900","-","8","-","-","2018","청석로 74","-","중개거래","경기 광주시","-"
"21","광주광역시 남구 송하동","43-28","0043","0028","금호타운","84.8950","202201","31","18,000","-","10","-","-","1996","효덕로 291","20220210","직거래","-","-"
"22","경기도 부천시 원미구 상동","570-5","0570","0005","하얀마을(경남)","59.8218","202201","31","57,300","-","6","-","-","2002","부흥로 109","-","중개거래","경기 부천시 오정구","-"
"23","경기도 고양시 일산서구 일산동","2019","2019","0000","에이스11차","84.8700","202201","31","36,500","-","18","-","-","1996","탄중로 523","-","중개거래","경기 고양일산서구","-"
"24","충청남도 천안시 동남구 영성동","48-9","0048","0009","형우이즈뷰아파트2차2동","51.3200","202201","31","20,000","-","8","-","-","2020","미나릿길 39","-","직거래","-","-"
"25","대전광역시 서구 관저동","1985","1985","0000","관저더샵","84.8820","202201","31","57,500","-","18","-","-","2018","관저서로 19","-","중개거래","대전 서구","-"
"26","대전광역시 유성구 원내동","394","0394","0000","샘물타운","84.9400","202201","31","32,000","-","12","-","-","1996","원내로 52","-","중개거래","대전 유성구","-"
"27","울산광역시 남구 무거동","840","0840","0000","쌍용스윗닷홈2","84.9348","202201","31","32,300","-","2","-","-","2002","신복로45번길 15","-","중개거래","울산 남구","-"
"28","인천광역시 동구 송현동","6-26","0006","0026","송현주공","36.0000","202201","31","11,000","-","9","-","-","1993","인중로 653","-","중개거래","인천 동구","-"
"29","서울특별시 강남구 역삼동","709-5","0709","0005","테헤란아이파크","70.8333","202201","31","220,000","-","2","-","-","2014","테헤란로52길 16","20220321","중개거래","서울 강남구","-"
"30","부산광역시 해운대구 중동","1498-9","1498","0009","뷔센하우스","240.1700","202201","31","102,000","-","4","-","-","2006","달맞이길117번가길 107-30","-","중개거래","부산 사하구","-"
"31","경기도 부천시 소사구 괴안동","99","0099","0000","아주","59.1150","202201","31","36,900","-","2","-","-","1995","범안로21번길 39","-","중개거래","경기 부천시 오정구","-"
"32","인천광역시 서구 석남동","523-2","0523","0002","이화골드타운","59.9300","202201","31","17,000","-","2","-","-","2002","신석로 74-1","-","중개거래","인천 서구","-"
"33","대전광역시 중구 문화동","422-1","0422","0001","햇살","59.4000","202201","31","16,500","-","6","-","-","2000","서문로43번길 37","-","중개거래","대전 중구","-"
"34","경기도 안산시 단원구 초지동","801","0801","0000","롯데캐슬더퍼스트","84.9700","202201","31","74,700","-","13","-","-","2018","원초로 61","20220629","중개거래","경기 안산단원구","-"
"35","전북특별자치도 익산시 어양동","652-1","0652","0001","부영1차","49.8000","202201","31","7,800","-","1","-","-","1998","무왕로20길 17","-","중개거래","전북 익산시","-"
