elec,level,channel,source,n_units,p_no_fraud,p_nf_lo,p_nf_hi,p_incr,p_ext,fraud_share,Ft,Ft_lo,Ft_hi,Fw,Fw_lo,Fw_hi,n_flagged,rhat,not_converged,M1,M2,M3,D1,D2,D3,mebane_flag_which,n_iter,parcomp,elapsed,leader_side
18,constituency,total_no_early,real,198,0.9917,0.9766,0.9997,0.0035,0.0035,0.0069,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0026,False,0.0003,0.0004,0.0004,0.9939,0.9997,1.0,,5000,FALSE,192.5,dem
18,constituency,total_no_early,marginal_null,198,0.9913,0.9758,0.9998,0.0035,0.0036,0.0071,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0042,False,0.001,0.0006,0.0003,0.9908,0.9981,0.9977,,5000,FALSE,193.2,dem
18,constituency,total_no_early,joint_null,198,0.9915,0.9762,0.9998,0.0035,0.0035,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0031,False,0.0005,0.0004,0.0002,0.9943,0.998,0.9989,,5000,FALSE,193.3,dem
18,dong,total_no_early,real,2733,0.9953,0.9924,0.9976,0.0043,0.0003,0.0046,8640.2,0.0,27624.0,17914.3,0.0,57111.0,2,1.0386,False,0.0007,0.0007,0.0,0.9933,0.997,1.0,,3000,TRUE,1092.2,dem
18,dong,total_no_early,marginal_null,2733,0.9923,0.9884,0.9961,0.0074,0.0003,0.0076,14137.9,456.0,45977.0,31118.2,1020.0,101022.0,6,1.3794,True,0.0029,0.0029,0.0,0.7748,0.9945,0.9956,,3000,TRUE,1320.2,dem
18,dong,total_no_early,joint_null,2733,0.9959,0.9931,0.9983,0.0037,0.0003,0.004,17921.8,0.0,54521.0,38051.4,0.0,115098.0,2,1.2396,True,0.0015,0.0015,0.0,0.9998,0.9956,1.0,,3000,TRUE,1077.6,dem
19,constituency,total_no_early,real,209,0.9921,0.978,0.9997,0.0033,0.0033,0.0066,0.0,0.0,0.0,0.0,0.0,0.0,0,1.002,False,0.0007,0.0005,0.0004,1.0,0.9957,0.9988,,5000,FALSE,201.2,dem
19,constituency,total_no_early,marginal_null,209,0.992,0.9774,0.9998,0.0034,0.0033,0.0067,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0007,False,0.0004,0.0003,0.0003,0.9968,0.9963,1.0,,5000,FALSE,200.6,dem
19,constituency,total_no_early,joint_null,209,0.9921,0.9777,0.9997,0.0032,0.0033,0.0066,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0026,False,0.0005,0.0003,0.0004,1.0,1.0,0.9995,,5000,FALSE,200.2,dem
19,dong,total_no_early,real,2923,0.9945,0.9903,0.9982,0.0051,0.0002,0.0054,11185.2,1186.0,28915.0,22769.8,2412.0,58898.0,4,2.2334,True,0.004,0.0041,0.0001,0.9916,0.9927,0.999,,3000,TRUE,1072.3,dem
