file,size,elec,level,channel,source,leader_side,p_no_fraud,p_nf_lo,p_nf_hi,p_incr,p_incr_lo,p_incr_hi,p_ext,p_ext_lo,p_ext_hi,fraud_share,Ft,Ft_lo,Ft_hi,Fw,Fw_lo,Fw_hi,n_flagged,n_units,rhat,not_converged,M1,M2,M3,D1,D2,D3,mebane_flag,elapsed,completed
21_constituency_early_joint_null_con,4846,21,constituency,early,joint_null,con,0.986,0.9666,0.9987,0.0099,0.0002,0.0277,0.0027,0.0,0.0122,0.0127,19197.7,0.0,77925.1,129202.2,0.0,468092.1,0,253,1.4489,True,0.0114,0.0116,0.0006,1.0,0.9936,0.9971,False,51.6,True
21_constituency_early_marginal_null_con,4856,21,constituency,early,marginal_null,con,0.985,0.9452,0.9987,0.0107,0.0001,0.0494,0.0027,0.0,0.0116,0.0134,22177.8,0.0,101802.0,154582.9,0.0,665323.9,0,253,2.8689,True,0.0323,0.032,0.0004,0.9987,0.996,1.0,False,51.8,True
21_constituency_early_out_joint_null_con,4855,21,constituency,early_out,joint_null,con,0.9896,0.9733,0.9998,0.0061,0.0,0.0213,0.0029,0.0,0.012,0.009,1815.6,0.0,8365.0,46425.2,0.0,196906.8,0,253,1.4753,True,0.0085,0.0083,0.0004,0.9954,0.9937,0.9972,False,61.6,True
21_constituency_early_out_marginal_null_con,4865,21,constituency,early_out,marginal_null,con,0.9878,0.9702,0.9995,0.0081,0.0,0.0244,0.0027,0.0,0.0118,0.0108,5354.2,0.0,23535.0,84193.4,0.0,355181.0,0,253,1.4532,True,0.0116,0.0118,0.0004,0.9961,0.8777,1.0,False,53.5,True
21_constituency_early_out_real_con,4838,21,constituency,early_out,real,con,0.9896,0.9672,0.9996,0.006,0.0,0.0273,0.0027,0.0,0.0118,0.0086,2607.6,0.0,11957.0,64974.4,0.0,271996.9,0,253,1.9986,True,0.0169,0.0165,0.0005,0.997,0.9967,0.9909,False,54.6,True
21_constituency_early_real_con,4830,21,constituency,early,real,con,0.9793,0.9462,0.9995,0.0164,0.0,0.0493,0.0028,0.0,0.0116,0.0193,32790.7,0.0,147353.0,238133.8,0.0,1001401.7,0,253,2.6179,True,0.0351,0.035,0.0003,0.9952,0.9961,0.9948,False,53.2,True
21_constituency_early_total_joint_null_con,4863,21,constituency,early_total,joint_null,con,0.9885,0.9732,0.9988,0.0076,0.0003,0.0214,0.0026,0.0,0.0113,0.0102,22614.0,0.0,96515.0,86064.7,0.0,357133.9,0,253,1.0832,True,0.0039,0.0041,0.0003,0.9987,0.9949,0.9929,False,55.0,True
21_constituency_early_total_marginal_null_con,4872,21,constituency,early_total,marginal_null,con,0.9899,0.9719,0.9998,0.0058,0.0,0.0232,0.0028,0.0,0.0116,0.0086,14525.2,0.0,62671.1,62687.9,0.0,261091.1,0,253,1.6549,True,0.0118,0.0117,0.0003,1.0,0.9931,0.9936,False,51.7,True
21_constituency_early_total_real_con,4845,21,constituency,early_total,real,con,0.9894,0.9735,0.9995,0.0065,0.0,0.0201,0.0029,0.0,0.0124,0.0093,12585.0,0.0,42106.0,76408.6,0.0,234672.8,0,253,1.2355,True,0.0083,0.0079,0.0004,0.9983,0.994,0.9985,False,61.4,True
21_constituency_sameday_joint_null_con,4803,21,constituency,sameday,joint_null,con,0.9932,0.9805,0.9998,0.0028,0.0,0.0124,0.0028,0.0,0.0124,0.0056,0.0,0.0,0.0,0.0,0.0,0.0,0,253,1.0209,False,0.0013,0.001,0.0004,0.9967,0.9969,0.9965,False,64.2,True
21_constituency_sameday_marginal_null_con,4858,21,constituency,sameday,marginal_null,con,0.9924,0.9794,0.9998,0.0036,0.0,0.0141,0.0027,0.0,0.012,0.0063,5298.9,0.0,22451.0,15299.3,0.0,63406.0,0,253,1.1632,True,0.0037,0.0038,0.0005,0.9979,0.983,1.0,False,58.1,True
21_constituency_sameday_real_con,4831,21,constituency,sameday,real,con,0.9926,0.9799,0.9997,0.0035,0.0,0.0139,0.0027,0.0,0.0116,0.0061,3855.5,0.0,16592.0,13561.2,0.0,57763.0,0,253,1.1659,True,0.0037,0.0039,0.0004,0.9991,0.9939,1.0,False,62.5,True
21_constituency_total_joint_null_con,4852,21,constituency,total,joint_null,con,0.9104,0.8732,0.9462,0.0856,0.0522,0.1235,0.0028,0.0,0.0123,0.0883,1079500.1,0.0,3466382.9,2071848.4,0.0,6688359.2,3,253,1.0624,True,0.012,0.0118,0.0002,0.9931,0.9986,0.9965,False,52.1,True
21_constituency_total_marginal_null_con,4860,21,constituency,total,marginal_null,con,0.9161,0.8756,0.951,0.0798,0.0462,0.1196,0.0028,0.0,0.0125,0.0826,998638.5,0.0,3154151.2,1953567.5,0.0,6232889.3,3,253,1.2565,True,0.0246,0.0234,0.0012,0.9848,0.9872,1.0,False,58.4,True
21_constituency_total_real_con,4833,21,constituency,total,real,con,0.9237,0.87,0.9642,0.072,0.0312,0.1241,0.0028,0.0,0.0121,0.0748,906813.4,0.0,3065178.2,1785730.3,0.0,6105207.7,4,253,1.9853,True,0.0518,0.052,0.0002,1.0,0.996,0.9904,False,52.1,True
21_dong_early_joint_null_con,5851,21,dong,early,joint_null,con,0.9906,0.9868,0.9955,0.0091,0.0045,0.0132,0.0002,0.0,0.0008,0.0093,32524.7,0.0,146411.0,200713.1,0.0,775688.0,2,3480,1.7796,True,0.0042,0.0042,0.0,0.9952,0.9985,0.9907,False,1772.2,True
21_dong_early_marginal_null_con,6703,21,dong,early,marginal_null,con,0.9943,0.99,0.9969,0.0054,0.0028,0.0095,0.0002,0.0,0.0008,0.0056,14380.0,196.0,61450.0,121719.3,405.0,426072.9,3,3480,1.8581,True,0.0031,0.0031,0.0,0.9973,0.9907,0.9998,False,1814.4,True
21_dong_early_real_con,5759,21,dong,early,real,con,0.9945,0.9909,0.9975,0.0052,0.0023,0.0087,0.0002,0.0,0.0009,0.0054,11818.4,243.0,53326.0,94989.7,439.0,383367.9,2,3480,1.6901,True,0.0033,0.0033,0.0,0.9927,0.9983,0.9971,False,1715.1,True
21_dong_pooled_joint_null_con,6785,21,dong,pooled,joint_null,con,0.9336,0.9237,0.943,0.0661,0.0567,0.076,0.0002,0.0,0.0009,0.0663,609669.6,6236.0,1933259.1,1485049.3,14846.0,4660433.0,73,3480,1.322,True,0.007,0.0069,0.0001,0.9937,0.9974,0.9954,False,1657.6,True
21_dong_pooled_marginal_null_con,4877,21,dong,pooled,marginal_null,con,0.9313,0.9178,0.9404,0.0684,0.0589,0.0816,0.0002,0.0,0.0008,0.0686,447052.6,20908.0,1397989.0,973634.0,46770.0,3077021.1,82,3480,1.7953,True,0.0106,0.0106,0.0,0.9987,1.0,0.9947,False,1527.5,True
21_dong_pooled_real_con,6834,21,dong,pooled,real,con,0.939,0.9272,0.9495,0.0607,0.0503,0.0726,0.0002,0.0,0.0009,0.0609,348329.6,6947.0,1149049.2,808906.9,16413.0,2639832.2,70,3480,1.8601,True,0.0102,0.0103,0.0,0.9836,0.9942,0.9941,False,1701.5,True
21_dong_sameday_joint_null_con,6694,21,dong,sameday,joint_null,con,0.9981,0.9964,0.9995,0.0016,0.0004,0.0033,0.0002,0.0,0.0009,0.0018,8480.8,0.0,38172.0,29213.1,0.0,121635.0,0,3480,1.1431,True,0.0006,0.0006,0.0,0.9932,1.0,1.0,False,1777.9,True
21_dong_sameday_marginal_null_con,5786,21,dong,sameday,marginal_null,con,0.9986,0.9968,0.9998,0.0011,0.0001,0.0027,0.0002,0.0,0.0009,0.0013,6563.2,0.0,29807.0,16188.0,0.0,69672.0,0,3480,1.4409,True,0.0011,0.001,0.0,0.9938,0.9994,0.9996,False,1690.4,True
