,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11
pct_m_1824,-0.13565469822180748,0.0710820114610073,0.17627564087829947,0.27129527234688977,0.04055696777203159,0.08561783057714768,-0.02229754358416251,0.03361379281955138,-0.1471157525056818,-0.19996306800048239,-0.014872017397179338
pct_m_2529,-0.13735961902236882,0.06777146392769515,0.05769832256087637,-0.07504502500973988,0.12911857174758498,0.3681282758703548,0.021670401570130667,-0.048824383596692236,-0.34542583347881456,0.029126146769195504,-0.030179849834644175
pct_m_3034,-0.1527421578601822,0.1363488401995486,-0.03710385921971078,-0.235928302658854,0.02076204648238909,0.20663905823498768,0.045033087560532245,-0.091761223443897,-0.11100023290555193,0.23215618297865218,-0.05327031937944004
pct_m_3539,-0.15560146403908948,0.16154467286264407,-0.053501016087745,-0.20527299490182505,-0.07782665270340214,-0.019409051460455424,0.06320904151581139,-0.09899709649848579,0.12730041789490673,0.2756511843948978,-0.08352675660617889
pct_m_4044,-0.1594675911979972,0.15815382759248603,0.0008760539104880123,-0.03763671361495985,-0.13534390879675368,-0.208401613889973,0.06707539881977843,-0.061198024942410514,0.17542336367624697,0.19089431841309937,-0.032346713076144326
pct_m_4549,-0.1308187225771565,0.09885804522805455,0.09356327368756061,0.24556288200584084,-0.11999909673815426,-0.30624491897975853,0.055613160380663315,0.014144753620929153,0.05021440973770887,0.044215454934586756,0.041091547124796665
pct_m_5054,-0.01860105613071114,-0.043249129042234546,0.07012906532899948,0.4847085256494341,-0.0293853098234306,-0.12616858180011659,0.05378309447870114,0.005125881858481306,-0.22439080233787234,0.33270663856060295,-0.0045563111773444425
pct_m_5559,0.11319969333292422,-0.1734257965897854,-0.06520718932029831,0.25751431278905684,0.06833565773982772,0.10345101857598024,0.0544972337271413,-0.0363567662683355,-0.12532839745121585,0.4308176380887662,-0.043525726009638145
pct_m_6064,0.16279656789198618,-0.1863016842561051,-0.08617317566643201,0.050238257208684495,0.043120638496447546,0.07742097535797962,0.029844710875224487,-0.05683221226649269,0.06800068112168502,0.19601016866003518,-0.02427404659919733
pct_m_6569,0.17648112784128006,-0.16778923446340807,-0.09610399108119792,-0.034084258440928945,0.004907356851128703,0.020203839226502155,-7.628694795441545e-05,0.00011890451102242129,0.10826609341064054,0.011628737775226635,-0.0005345947239314143
