,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11,pc12
pct_m_1824,-0.1343674579725714,0.10352524181952368,-0.04061650988655128,0.23679381245178277,-0.04953672543239597,-0.09486208565711188,0.29035292365025256,-0.03418660209030918,-0.17875276469061235,0.14157818974589054,-0.1528622920273255,-0.19874650805108998
pct_m_2529,-0.14598323719221817,0.034538078206680256,-0.060331308897981946,-0.06099390976211905,0.17747098684383167,-0.01743072970199224,0.4190100233642471,-0.07458048468344246,-0.05278594769932452,0.05691246454082489,0.14726037088742136,0.08064507424366535
pct_m_3034,-0.16506923570694956,0.07160459263021057,-0.07061592054129545,-0.15658232333832112,0.21976943435102225,0.06666937700424769,0.18080945032351559,-0.050210870149728894,0.1645343365537699,-0.053494452300002715,0.17766344225002206,0.1398647069438577
pct_m_3539,-0.1636079749214761,0.14686600346542,-0.06173273970033108,-0.11093310999333782,0.163485675396248,0.14126959032905823,-0.11340838429214763,0.010503685520562609,0.23417018611376592,-0.10024058127731332,0.08748018816193504,0.04870275768272943
pct_m_4044,-0.1568089269072986,0.19144252424957195,-0.01776493797769754,0.03286730283632521,0.0691139670014742,0.11901218015930108,-0.2699698769390946,0.061751204127435004,0.07529950108595737,-0.0845303857113809,0.0369574121633338,0.003955514745426953
pct_m_4549,-0.1331251855351551,0.20513624410722153,0.028112244623706775,0.1782511565854187,-0.06282812685219613,0.019408432172312435,-0.2365116075589143,0.11830223654284878,-0.1674813288509392,-0.06648191677432035,0.04101405379944783,0.08401860084444959
pct_m_5054,-0.06430826972810834,0.14727948237486588,0.11423228749495513,0.2924534039512133,-0.15648251615443515,-0.1823125124104013,-0.04042133461766898,0.14072650202722423,-0.26859954211688825,-0.09139533493757998,0.28772673149951733,0.27467027296005947
pct_m_5559,0.12737368096172338,-0.013024043626862264,0.20983429346963953,0.11674051715222741,-0.08386185538651532,-0.1917155219191599,0.12470825387772316,0.06903263316286636,0.035108072698018924,-0.18588454929404333,0.38581029481622553,0.27953203901758356
pct_m_6064,0.18056898873409072,-0.10386862295990454,0.15672063899168873,-0.038809552937488466,-0.023641741704453868,-0.06500880595161387,0.04317511163363195,0.036852476408567966,0.08104001521085943,-0.1302478619701058,0.13396157958409569,0.07059507324071282
pct_m_6569,0.1880495298236751,-0.14175364437991372,0.09539528520289532,-0.08012494483030314,-0.015234132583205858,0.005217620397172913,-0.045797230586916655,0.030927143190142548,0.02914561389146271,-0.04829842860275,0.023058278172699148,-0.036938477662713146
pct_m_70plus,0.1924199209130603,-0.13917617886693512,0.025222127940434155,-0.10204187431914309,-0.04821712485047135,0.07681507834487575,-0.059170246613208806,0.057661686365329944,-0.13933518065553122,0.06711564188428545,-0.05120145775938869,0.002904114098696783
pct_f_1824,-0.15435000435249954,0.05037398820618667,-0.1026562124856549,0.130697794588979,-0.015089533811434507,-0.07515251946643864,0.31128209520046185,-0.0795508630430366,-0.20275662139555967,0.1732118086238722,-0.13558695891418718,-0.21386391442135652
pct_f_2529,-0.16421692366745322,-0.0010730622854322593,-0.13953982268658147,-0.10558510485153326,0.13550968318778667,-0.030484290383826572,0.2891769609585802,-0.11315886834842638,0.0019769048264332285,0.050222161782972986,0.08095809359081652,0.06116092094566409
pct_f_3034,-0.17847145680102786,0.06809477550508006,-0.12801669130342927,-0.1461102151330458,0.1427696800212904,0.05259341496239029,0.02249586892264155,-0.0664029349598037,0.2186494446953794,-0.03970011186798689,0.06090207198036693,0.043432791044673215
pct_f_3539,-0.17291904076097608,0.14100758467710572,-0.10053604821878066,-0.058597123448322554,0.0592079084534989,0.09440558424628266,-0.2062740930676901,-0.0005041655062186273,0.2041073804108999,-0.07618171154836254,-0.03485244539161942,-0.05240726161150126
pct_f_4044,-0.16748432242914574,0.16764763191000667,-0.058198522628672915,0.09946908899628662,-0.041671438697060255,0.03340492888764463,-0.2672216707777477,0.016571102465745752,0.05470073698502634,-0.03751493106868711,-0.1076197006247389,-0.08896326927906285
