,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11,pc12
pct_m_1824,-0.13404492061591783,0.1383640200158448,0.020356258569765317,0.2278117446645842,-0.01727398612192848,0.07657882853707099,0.2694310008373087,-0.015132129783607463,-0.14872549233821244,-0.25844031000641143,-0.027644456616773387,0.0982474977325572
pct_m_2529,-0.14389421625405363,0.08223400727939381,-0.053759153903600136,-0.011347311629068199,0.17654147562368833,-0.04550075465785182,0.42133843604699717,-0.07123469656501302,-0.052814117428042706,-0.05236160507434173,-0.007333616903144387,-0.11460055230368418
pct_m_3034,-0.1612885411813224,0.09493203936103305,-0.0731874512863116,-0.11576965883003304,0.19758884743116273,-0.11824801184380643,0.18479729287549193,-0.07486596549070434,0.14984808019481843,0.11184988739197546,-0.006241043744334645,-0.12013420872272744
pct_m_3539,-0.15924336880501433,0.15265082921331483,-0.048892474129077226,-0.10943637592282521,0.13062341951551004,-0.15113033457393305,-0.10203529088568866,-0.02593117740446603,0.22565294383371257,0.14470595275306058,-0.008234811817713543,-0.06021079760646487
pct_m_4044,-0.15517792909759875,0.19201399016971143,0.022885940616045028,-0.005712820367055644,0.0399036984975441,-0.09569400008279111,-0.2733465453379877,0.05405093180544303,0.09155969025700575,0.09721793100154136,0.028604605418920598,0.0007861826095340945
pct_m_4549,-0.13821958794822925,0.2017371785243961,0.10016126079796614,0.12222262058014677,-0.04195834845166098,0.021122178362144476,-0.2726540744608297,0.1042164540226535,-0.12623897982906968,0.031620252637951,0.049622160218162646,-0.01504024579492632
pct_m_5054,-0.08123000098493785,0.14635277533388652,0.19147838580976476,0.26912396877913586,-0.08079730452419367,0.20223077289645394,-0.09695098251863835,0.1387492381475135,-0.3052168782981138,0.11236580265212494,0.14238829078475174,-0.12762920358259713
pct_m_5559,0.10262478427381118,-0.052901211390254665,0.23485154567650182,0.14819737071343395,-0.020351723169071457,0.22501449113794014,0.13379946889165814,0.04497998158446739,-0.08509679111187841,0.31398860232912607,0.1426236374929577,-0.26504144433539056
pct_m_6064,0.165815140860004,-0.143611188771773,0.12795586237848267,-0.04255447552576823,0.007094104509295323,0.06614125951147036,0.062306890081540695,0.01843751158457141,0.06818738435766485,0.15206613188353124,0.05816043737331525,-0.09514501782367553
pct_m_6569,0.17510832121360786,-0.16372563926012598,0.05290218231569636,-0.07735602618782346,-0.0024034178345265955,0.002722291455032326,-0.017489194982141968,0.03437633871702009,0.04441628762510935,0.05018606130017257,0.00018522516757445674,-0.010039971068085218
pct_m_70plus,0.18116523072673496,-0.148606786422992,-0.02034944375839092,-0.09306765661191532,-0.03832811228877078,-0.05575956005715357,-0.0585972674383696,0.0717623009309856,-0.10775654482925787,-0.07910404106892673,0.02926445014297619,0.017834968569196443
pct_f_1824,-0.14639456234687032,0.10482413119352516,-0.0708001910590958,0.14506309690127972,-0.016200110146764143,0.04913382861527595,0.3027683034416982,-0.055015911679165294,-0.17728561341268492,-0.23866583901221988,-0.024736779129747408,0.15665486812734522
pct_f_2529,-0.1592631076655557,0.059844640021950585,-0.1510051775004239,-0.05691990849816078,0.10400578310102127,-0.02355560046109095,0.3035594155977681,-0.11099328463345738,-0.01495300401521122,0.016403342039388293,-0.01819680328677232,-0.02149724102687877
pct_f_3034,-0.16846611609726175,0.104368784768157,-0.13348337577862254,-0.11303561091228531,0.1041127669592242,-0.09184142383559575,0.04623091134998758,-0.08389606692676532,0.19523394330446686,0.12312377632225613,-0.0449982945349786,-0.03623916969864405
pct_f_3539,-0.16388068788094914,0.16274680865856803,-0.08170927659944992,-0.06835946618817901,0.02344295349957772,-0.08960285413470505,-0.1830909300734665,-0.01608819370931522,0.214602352230692,0.10749311259050522,-0.03736191320291942,0.013329207860912342
pct_f_4044,-0.16124454340520483,0.18257665706656614,-0.009551346600216911,0.06358232639136202,-0.06749668249086112,-0.005894810430396591,-0.27031283250210986,0.02003223676287161,0.08778333881356262,0.006998438610045298,-0.01781041847277321,0.06555584738027367
pct_f_4549,-0.15792045155105172,0.16618544475106042,0.038403834856349545,0.17122143473342716,-0.1153428232713221,0.11411474218134063,-0.17877857219112248,-0.0038042513686728867,-0.01404871538212695,-0.0559455786760022,-0.02564156751095219,0.06045518473554646
pct_f_5054,-0.1485356102576842,0.10261766095772441,0.07739119692884287,0.2447088384557824,-0.11547235451104611,0.23470767503590698,-0.007875913010050885,-0.10077298823450266,0.07195417180968985,0.005997264684282078,-0.06207103822715875,0.03125874033871141
pct_f_5559,-0.03580280302452776,-0.06686272307902297,0.19157137588303633,0.2410768227518467,-0.07471714261862969,0.35751166282265295,0.16237737213923087,-0.2609622817181345,0.40472285857348067,0.1824813996601533,-0.1319174642370694,-0.015441324291096903
pct_f_6064,0.1318295680564673,-0.20773738766946914,0.10378023109945424,0.025203461994844984,-0.01713122526606041,0.1456275095941524,0.029616918961783614,-0.12135280985857864,0.30140252757527813,0.07275738072092117,-0.08231739500431785,0.06755790510750248
pct_f_6569,0.1582576544464636,-0.21200880657430304,0.014770308408206445,-0.03821479662111307,-0.023850224742483092,0.024442013386330244,-0.06653953240285515,-0.007680891367786346,0.07513510199508112,-0.046102793420681396,-0.06316832976351953,0.08174193371489372
pct_f_70plus,0.18131039975774207,-0.12590372132354422,-0.035628192833430716,-0.07561024037592719,-0.047358024984009664,-0.06766858403173662,-0.05660167700724716,0.06003980533615372,-0.15063242612548822,-0.0927844276409785,0.021316411329584284,0.026505478819829564
emp_men_total,0.11763313727692652,0.24632558352493453,0.13234671240797566,-0.21058599739205608,0.06161882197627285,0.1651820901098445,0.05912480002240018,0.15651558394544587,0.044203519476177525,-0.011984219044798319,-0.02198534115078268,-0.06984911328290332
emp_men_1529,0.0521009527161315,0.11309173949482101,0.012285784961191336,-0.2225594432792111,0.40611809490575956,0.3101222416197395,-0.03730541874109334,-0.0019703302766642516,-0.23242102644377488,0.06435514911818668,-0.007723910810761929,0.10406612724087053
