,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11,pc12
pct_m_1824,-0.13439263904275486,0.15121501821668026,0.019065134719689604,-0.2262035605655338,-0.09260034144015415,0.07048627750841231,0.22031806222426095,-0.02672904462302943,-0.22711928572380813,-0.017239039908782394,-0.21426331194003495,-0.04633085260665656
pct_m_2529,-0.14582433039417575,0.06744781977360437,-0.06141679670723453,0.03271366005889677,0.11827224065868949,0.10359646204903329,0.4401301511834186,-0.07632628713795263,-0.11434718122183539,0.07053282695913607,0.071329513973829,-0.06554115105687557
pct_m_3034,-0.16118174311147093,0.07347151152313114,-0.10058296123649546,0.15491581044121291,0.1916594421039134,0.07140425195124793,0.20778044061907708,-0.030583204602845197,0.16046783059678468,0.05690496591313422,0.1746974238380864,-0.02952210478242673
pct_m_3539,-0.15894176488863726,0.16101142468782242,-0.05322361773496155,0.08905898328208624,0.2020323449072543,-0.02972473879259671,-0.07341426996926124,-0.005131403511071279,0.2172075423365455,-0.1109786463120649,0.1910996877321154,-0.06666708587517828
pct_m_4044,-0.15894091245770411,0.1674988513059693,-0.016057859614170576,0.011933135648663872,0.1029303093093941,-0.0027431262962335757,-0.29055190200771625,0.07199520079287702,0.1538334121078843,0.00501850717609381,0.09742283170678248,0.010800970828851304
pct_m_4549,-0.13217236607262997,0.2001018053034867,0.07484395539618818,-0.15319505248236234,-0.06262264019342667,0.004935491982622266,-0.2753430432864644,0.0774149626010372,-0.10320977256138768,0.033014737942143046,0.09958125983177667,0.007341530596809048
pct_m_5054,-0.06314182992272037,0.10602538424097771,0.17332660346197254,-0.2376506170277749,-0.2707116087003264,0.16273565146825802,-0.14868551668662547,0.08672797636156913,-0.18241709773905906,0.3122479662074552,0.2984722968374615,0.0410465934387244
pct_m_5559,0.11390407553691044,-0.06026814745439112,0.24333214932740355,-0.08848572207029134,-0.19586921531110502,0.14791701614030525,0.11267622646419606,0.009876129301959889,0.04718280221298361,0.13853001779878132,0.42255443677377624,-0.05399174864699348
pct_m_6064,0.16730936712114952,-0.14937528950181148,0.1393189237128877,0.03155063145407792,-0.04006086667605619,0.0502462546448483,0.04365559627247355,-0.0014177840169549054,0.10725555851809768,0.02809900245070853,0.14474049079290002,-0.0300428175862429
pct_m_6569,0.1704450137271396,-0.17931608460025608,0.04870622022260565,0.09436557347079334,0.01756669655069269,0.016154625590087908,-0.046499077916002524,0.055626557568782875,0.08224041425873527,0.046733345318838104,-0.05045106511653231,-0.025713063078232484
pct_m_70plus,0.1863732172199832,-0.14179102624174206,0.0063369201570048,0.08231685079709837,0.02351671801466712,-0.09612529018677468,-0.057346004977170593,0.059193226514310554,-0.14824191572684647,-0.0012338567579535519,-0.03186594662133993,0.029362397816823014
pct_f_1824,-0.1528580222091995,0.12017024023302837,-0.06271382176408843,-0.15075612800943078,-0.06496601370908492,0.03138197530669917,0.2581536778750958,-0.0643550797382457,-0.23646708925510523,0.004253020622102586,-0.235154502041636,-0.018044634462177148
pct_f_2529,-0.16286208633278065,0.051645856295559574,-0.1488741225579898,0.06586664758561553,0.0783771189467157,0.04149553900621993,0.3291807182495967,-0.10610779962590314,-0.03147304574743883,0.03907236037662139,0.017927026456552628,-0.006775076984616223
pct_f_3034,-0.17029884958529198,0.08774151415544679,-0.15532139417446034,0.13521922532648634,0.12924699931815026,0.007605554175118404,0.06811658558715498,-0.03936752248732022,0.21572982116264647,-0.021575939968519555,0.08224646760812408,-0.013440539415977552
pct_f_3539,-0.16472495786402594,0.1649481235302544,-0.0902907897551319,0.04039077828209952,0.10652284382759797,-0.05503380911637492,-0.16162742903431646,0.0007568644192379342,0.21437734171961836,-0.133504738579646,0.03604665145364786,-0.04446142709313399
pct_f_4044,-0.16694785601920886,0.157014127246097,-0.0550499545744832,-0.05692468947200784,-0.023731980012254864,-0.004814677853741487,-0.2823848913351191,0.04983486963369592,0.13017314917832754,-0.013922491237415473,-0.1222613674331009,0.03626946864232066
pct_f_4549,-0.1602877983628545,0.16128850964547625,0.001953929222251947,-0.17435491216328322,-0.15123747360442916,0.03367018394797813,-0.16779474226865404,-0.0008531782093591623,0.010271299810176356,-0.009830210328324719,-0.1824341565531669,0.02991188378131759
pct_f_5054,-0.14557306692807567,0.08320472344498585,0.05326942273909158,-0.2193328207373537,-0.26974758503331325,0.14306454652235379,0.0025450583718221093,-0.09074741461211668,0.16110671166668056,0.029245244995356294,-0.1428605959209769,0.044409470321951895
pct_f_5559,0.010106204281265392,-0.07423843140714885,0.19390122465469073,-0.17810819951992887,-0.28956921055074175,0.20620009598308414,0.20812962806053928,-0.19646426267670314,0.48419235000986516,-0.18254907600346892,-0.0414441562279221,-0.037084048713445554
pct_f_6064,0.14157251596362716,-0.19282394476692483,0.10662942370471949,-0.024486462966032713,-0.061704433537103046,0.04979829786449347,0.04100596491510325,-0.09657014633858464,0.25965534953658087,-0.15609020831983755,-0.08693053727768411,-0.014984809193032585
pct_f_6569,0.15710546650853385,-0.20945255654157566,0.010750400224917193,0.06705261314800716,0.008296389105470725,-0.005928249741232671,-0.0712459139525752,0.009573433775147923,0.08429448212282487,-0.022707054474286222,-0.1837122172508196,0.00707173163591866
pct_f_70plus,0.1881621208403518,-0.11290117923501952,-0.00232034335411774,0.054607820518472024,0.01731062971302362,-0.12026718336068402,-0.056066021046272785,0.0319486884232127,-0.1938832863975029,-0.0006562339219528498,-0.0014324323377597637,0.04508546160168852
emp_men_total,0.10649717327908459,0.240058531495153,0.1098865747396486,0.25400379842286747,-0.09700917625738352,0.1501815815395802,0.017471106841909136,0.13370570411343624,-0.024672603560695023,-0.06508803429746385,-0.005996056904594058,-0.07109049925399898
emp_men_1529,0.034186972874674475,0.08784534479768798,0.024937166056947853,0.3237272273327281,0.003852759545707126,0.43704507506856344,-0.0706611655237275,-0.1232305441830539,-0.19193888873044487,0.04461015605799955,0.007080575465757023,-0.06994554451263113
emp_men_3049,0.018161941591767723,0.16818569925434076,0.15189933354221988,0.21465039320747303,-0.18393011326816988,0.009229282869232086,0.08645939553045173,0.3907900222719084,0.035247218581881005,-0.20427834198619874,-0.14094724394701022,-0.3398172481059287
emp_men_5064,0.09646039204236907,0.21930505468941483,0.0837609500368073,0.1464613081066864,-0.14248492940102978,-0.0294404642293242,0.13441942402189114,0.2747983320718885,0.07323300235483063,-0.1355719115466092,-0.0070499189560228855,0.19574674303957681
emp_men_65plus,0.17824271832077934,0.17556063157395155,-0.015468823882925163,0.004179803592789425,0.02451755839804858,0.027794403560099674,0.03452935225571197,0.08885583321532706,0.05823169456108711,0.03687129884041835,-0.02802443308248931,0.005361236768954216
emp_wmn_total,0.15477309033249506,0.13746817467771788,-0.16587918924859324,0.09112972450671007,-0.06872499086840879,0.17742595842625586,0.024423281083028735,0.18830346986134464,0.06180454432204592,0.131060363058486,0.06600505841787385,0.030265803749475895
emp_wmn_1529,-0.09184615769952305,-0.0908052091719803,-0.1274401394153095,0.2628649308471697,-0.11942812252235083,0.32752500039805654,-0.04403598435632876,-0.0689902083455711,-0.04931745492634087,0.07361319458067203,0.08679332370917718,0.20542558857162926
emp_wmn_3049,0.10118205935117357,0.011578763826949324,-0.3150111929813669,0.038757230037900894,-0.15543111803170068,0.11642062945119445,0.025873728587020674,0.13134628605521995,0.1722660156039858,0.23795845300047477,-0.005655269116529956,0.07052802772641721
